,Unnamed: 0,user,generated_on,model_name,dataset_name,task_name,used_adapter,adapter_type,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch,epoch.1,train_samples,training_time,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch.2,epoch.3,eval_matthews_correlation,eval_f1,eval_combined_score
0,0,saad,2024-07-23 15:33:47.460204,facebook/bart-base,glue,wnli,True,seq_bn,68.6129,92.548,11.66,495590881612800.0,0.7033330726623536,10.0,10.0,635,69.00380539894104,0.7245835661888123,0.3943661971830985,0.3392,209.286,26.529,10.0,10.0,,,
1,1,saad,2024-07-23 15:33:47.460204,facebook/bart-base,glue,wnli,True,prefix_tuning,66.7482,95.134,11.985,490911026304000.0,0.7037299156188965,10.0,10.0,635,67.10938858985901,0.7562258839607239,0.2816901408450704,0.3557,199.616,25.303,10.0,10.0,,,
2,2,saad,2024-07-23 15:33:47.460204,facebook/bart-base,glue,wnli,True,mam_adapter,84.6003,75.059,9.456,638453343360000.0,0.7082708549499511,10.0,10.0,635,84.97169423103333,0.7080913186073303,0.4647887323943662,0.3918,181.222,22.972,10.0,10.0,,,
3,3,saad,2024-07-23 15:33:47.460204,facebook/bart-base,glue,wnli,True,compacter_plusplus,67.0867,94.654,11.925,487005372748800.0,0.7062614679336547,10.0,10.0,635,67.45408630371094,0.7139174938201904,0.4647887323943662,0.3449,205.835,26.092,10.0,10.0,,,
4,4,saad,2024-07-23 15:33:47.460204,facebook/bart-base,glue,wnli,True,unipelt,113.1885,56.101,7.068,568563425126400.0,0.7034546661376954,10.0,10.0,635,113.57220530509947,0.7634788155555725,0.2957746478873239,0.5028,141.216,17.901,10.0,10.0,,,
5,5,saad,2024-07-23 15:33:47.460204,facebook/bart-base,glue,wnli,True,lora,67.3551,94.276,11.877,489023353574400.0,0.7061905002593994,10.0,10.0,635,67.73340368270874,0.7143152356147766,0.4647887323943662,0.3442,206.288,26.149,10.0,10.0,,,
6,6,saad,2024-07-23 15:33:47.460204,facebook/bart-base,glue,wnli,True,seq_bn_16_2_relu,71.7607,88.489,11.148,525813308544000.0,0.704591851234436,10.0,10.0,635,72.13504409790039,0.7432146072387695,0.3380281690140845,0.3525,201.402,25.53,10.0,10.0,,,
7,7,saad,2024-07-23 15:33:47.460204,facebook/bart-base,glue,wnli,True,seq_bn_16_2_tanh,71.5314,88.772,11.184,525813308544000.0,0.7043026065826417,10.0,10.0,635,71.91634917259216,0.7365930676460266,0.3098591549295774,0.3561,199.369,25.272,10.0,10.0,,,
8,8,saad,2024-07-23 15:33:47.460204,facebook/bart-base,glue,wnli,True,ia3,67.2989,94.355,11.887,487180625433600.0,0.7062132120132446,10.0,10.0,635,67.68580436706543,0.7139744758605957,0.4647887323943662,0.3416,207.857,26.348,10.0,10.0,,,
9,9,saad,2024-07-23 15:33:47.460204,facebook/bart-base,glue,wnli,True,prompt_tuning,35.3338,179.715,22.641,486866013312000.0,0.7062480115890503,10.0,10.0,635,35.72786498069763,0.7137831449508667,0.4647887323943662,0.327,217.103,27.52,10.0,10.0,,,
0,0,saad,2024-07-23 15:47:23.383530,facebook/bart-base,glue,wnli,False,,120.7855,52.573,6.623,486866013312000.0,0.7086573839187622,10.0,10.0,635,121.14529705047607,0.7113017439842224,0.4366197183098591,0.321,221.214,28.041,10.0,10.0,,,
0,0,saad,2024-07-23 16:03:14.876916,google/electra-base-discriminator,glue,wnli,True,seq_bn,61.4577,103.323,13.017,426413668684800.0,0.6905233669281006,10.0,10.0,635,61.89257526397705,0.7265690565109253,0.380281690140845,0.2919,243.199,30.828,10.0,10.0,,,
1,1,saad,2024-07-23 16:03:14.876916,google/electra-base-discriminator,glue,wnli,True,prefix_tuning,57.7244,110.005,13.859,420385475712000.0,0.6942450714111328,10.0,10.0,635,58.09587812423706,0.6985768675804138,0.5492957746478874,0.3117,227.786,28.874,10.0,10.0,,,
2,2,saad,2024-07-23 16:03:14.876916,google/electra-base-discriminator,glue,wnli,True,mam_adapter,71.3232,89.031,11.217,527275100083200.0,0.6995869588851928,10.0,10.0,635,71.70688819885254,0.6963121294975281,0.4507042253521127,0.3453,205.633,26.066,10.0,10.0,,,
3,3,saad,2024-07-23 16:03:14.876916,google/electra-base-discriminator,glue,wnli,True,compacter_plusplus,59.644,106.465,13.413,417828159820800.0,0.6936150503158569,10.0,10.0,635,60.02400946617127,0.7075760364532471,0.4366197183098591,0.3011,235.838,29.895,10.0,10.0,,,
4,4,saad,2024-07-23 16:03:14.876916,google/electra-base-discriminator,glue,wnli,True,unipelt,89.3469,71.071,8.954,471702754636800.0,0.6931951999664306,10.0,10.0,635,89.73961400985718,0.7147905826568604,0.4225352112676056,0.4064,174.699,22.145,10.0,10.0,,,
5,5,saad,2024-07-23 16:03:14.876916,google/electra-base-discriminator,glue,wnli,True,lora,55.8934,113.609,14.313,419127027225600.0,0.6934589242935181,10.0,10.0,635,56.290345668792725,0.7088138461112976,0.4366197183098591,0.2863,247.987,31.435,10.0,10.0,,,
6,6,saad,2024-07-23 16:03:14.876916,google/electra-base-discriminator,glue,wnli,True,seq_bn_16_2_relu,63.9134,99.353,12.517,456636095616000.0,0.6854538345336914,10.0,10.0,635,64.31527352333069,0.8110992312431335,0.352112676056338,0.3089,229.862,29.137,10.0,10.0,,,
7,7,saad,2024-07-23 16:03:14.876916,google/electra-base-discriminator,glue,wnli,True,seq_bn_16_2_tanh,63.8157,99.505,12.536,456636095616000.0,0.6731677150726318,10.0,10.0,635,64.20675444602966,0.9677686095237732,0.3098591549295774,0.3104,228.702,28.99,10.0,10.0,,,
8,8,saad,2024-07-23 16:03:14.876916,google/electra-base-discriminator,glue,wnli,True,ia3,57.8215,109.821,13.836,417958467916800.0,0.6935329818725586,10.0,10.0,635,58.21737694740296,0.7080632448196411,0.4366197183098591,0.2869,247.45,31.367,10.0,10.0,,,
9,9,saad,2024-07-23 16:03:14.876916,google/electra-base-discriminator,glue,wnli,True,prompt_tuning,59.9371,105.944,13.347,417688800384000.0,0.6999913311004639,10.0,10.0,635,60.339614152908325,0.6968971490859985,0.4788732394366197,0.3053,232.58,29.482,10.0,10.0,,,
0,0,saad,2024-07-23 16:06:11.551308,google/electra-base-discriminator,glue,wnli,False,,95.7283,66.334,8.357,417688800384000.0,0.6975354862213134,10.0,10.0,635,96.36411738395692,0.6905819177627563,0.5633802816901409,0.2637,269.29,34.135,10.0,10.0,,,
0,0,saad,2024-07-23 16:08:50.427815,distilbert/distilbert-base-uncased,glue,wnli,False,,51.2013,124.02,15.625,210291995366400.0,0.6957150077819825,10.0,10.0,635,51.59301257133484,0.7160406112670898,0.2253521126760563,0.1402,506.457,64.199,10.0,10.0,,,
0,0,saad,2024-07-23 16:16:18.703289,distilbert/distilbert-base-uncased,glue,wnli,True,seq_bn,30.752,206.491,26.015,217690969036800.0,0.6955704641342163,10.0,10.0,635,31.11630797386169,0.7281944155693054,0.2535211267605634,0.1627,436.472,55.327,10.0,10.0,,,
1,1,saad,2024-07-23 16:16:18.703289,distilbert/distilbert-base-uncased,glue,wnli,True,prefix_tuning,29.5948,214.565,27.032,214676872550400.0,0.6959821033477783,10.0,10.0,635,29.937008380889893,0.7076832056045532,0.2676056338028169,0.171,415.281,52.641,10.0,10.0,,,
2,2,saad,2024-07-23 16:16:18.703289,distilbert/distilbert-base-uncased,glue,wnli,True,mam_adapter,36.4378,174.27,21.955,269621788416000.0,0.6973546695709228,10.0,10.0,635,36.79836177825928,0.6967009902000427,0.4084507042253521,0.1896,374.45,47.466,10.0,10.0,,,
3,3,saad,2024-07-23 16:16:18.703289,distilbert/distilbert-base-uncased,glue,wnli,True,compacter_plusplus,29.9774,211.826,26.687,213398370662400.0,0.69567373752594,10.0,10.0,635,30.332460403442383,0.7304865717887878,0.2535211267605634,0.1633,434.699,55.103,10.0,10.0,,,
4,4,saad,2024-07-23 16:16:18.703289,distilbert/distilbert-base-uncased,glue,wnli,True,unipelt,44.267,143.448,18.072,241295578368000.0,0.6956607151031494,10.0,10.0,635,44.62734389305115,0.7194799780845642,0.2535211267605634,0.2223,319.323,40.478,10.0,10.0,,,
5,5,saad,2024-07-23 16:16:18.703289,distilbert/distilbert-base-uncased,glue,wnli,True,lora,27.9781,226.963,28.594,214047648307200.0,0.6956504535675049,10.0,10.0,635,28.336981773376465,0.7308668494224548,0.2535211267605634,0.1513,469.351,59.495,10.0,10.0,,,
6,6,saad,2024-07-23 16:16:18.703289,distilbert/distilbert-base-uncased,glue,wnli,True,seq_bn_16_2_relu,31.4957,201.615,25.4,232802182502400.0,0.6958500385284424,10.0,10.0,635,31.85265564918518,0.7354515790939331,0.2253521126760563,0.1754,404.783,51.311,10.0,10.0,,,
7,7,saad,2024-07-23 16:16:18.703289,distilbert/distilbert-base-uncased,glue,wnli,True,seq_bn_16_2_tanh,31.6608,200.563,25.268,232802182502400.0,0.6960346412658691,10.0,10.0,635,32.03317856788635,0.7426279187202454,0.2394366197183098,0.1621,437.966,55.517,10.0,10.0,,,
8,8,saad,2024-07-23 16:16:18.703289,distilbert/distilbert-base-uncased,glue,wnli,True,ia3,28.9276,219.514,27.655,213463368652800.0,0.695660548210144,10.0,10.0,635,29.29519200325012,0.7306967377662659,0.2535211267605634,0.1522,466.549,59.14,10.0,10.0,,,
9,9,saad,2024-07-23 16:16:18.703289,distilbert/distilbert-base-uncased,glue,wnli,True,prompt_tuning,30.4498,208.54,26.273,213328534886400.0,0.6935977983474731,10.0,10.0,635,30.807616472244263,0.7280522584915161,0.2394366197183098,0.1682,422.192,53.517,10.0,10.0,,,
0,0,saad,2024-07-23 19:42:27.090840,google/electra-base-discriminator,glue,cola,True,seq_bn,801.1399,106.735,13.343,5742146899092480.0,0.3101445711027026,10.0,10.0,8551,801.7138059139252,0.4369683861732483,,4.3277,241.004,30.27,10.0,10.0,0.6850707271866645,,
1,1,saad,2024-07-23 19:42:27.090840,google/electra-base-discriminator,glue,cola,True,prefix_tuning,755.6717,113.158,14.146,5660970398131200.0,0.4727607063314868,10.0,10.0,8551,756.0416567325592,0.4337888658046722,,4.4163,236.172,29.663,10.0,10.0,0.499254961251443,,
2,2,saad,2024-07-23 19:42:27.090840,google/electra-base-discriminator,glue,cola,True,mam_adapter,943.5844,90.623,11.329,7100361229624320.0,0.1657459055630261,10.0,10.0,8551,943.9624326229095,1.073210597038269,,4.8555,214.81,26.98,10.0,10.0,0.6564012470679357,,
3,3,saad,2024-07-23 19:42:27.090840,google/electra-base-discriminator,glue,cola,True,compacter_plusplus,780.4313,109.568,13.698,5626533219886080.0,0.4300967210246872,10.0,10.0,8551,780.8233852386475,0.3955415785312652,,4.1269,252.735,31.743,10.0,10.0,0.5703980726573153,,
4,4,saad,2024-07-23 19:42:27.090840,google/electra-base-discriminator,glue,cola,True,unipelt,1155.2905,74.016,9.253,6352016149447680.0,0.2736273056330025,10.0,10.0,8551,1155.6897485256195,0.5356751680374146,,5.565,187.42,23.54,10.0,10.0,0.6875144669936191,,
5,5,saad,2024-07-23 19:42:27.090840,google/electra-base-discriminator,glue,cola,True,lora,725.1488,117.921,14.742,5644023952450560.0,0.3660241664961413,10.0,10.0,8551,725.5474653244019,0.4074217677116394,,4.1045,254.112,31.916,10.0,10.0,0.6408545460827202,,
6,6,saad,2024-07-23 19:42:27.090840,google/electra-base-discriminator,glue,cola,True,seq_bn_16_2_relu,834.699,102.444,12.807,6149126383641600.0,0.2375547574991595,10.0,10.0,8551,835.0954535007477,0.6213493347167969,,4.5539,229.037,28.767,10.0,10.0,0.7068649074843276,,
0,0,saad,2024-07-23 17:51:20.438528,distilbert/distilbert-base-uncased,glue,cola,True,seq_bn,411.439,207.832,25.982,2931457442887680.0,0.4152553547644191,10.0,10.0,8551,411.81371998786926,0.6013100147247314,,2.2446,464.662,58.361,10.0,10.0,0.4924926525973739,,
1,1,saad,2024-07-23 17:51:20.438528,distilbert/distilbert-base-uncased,glue,cola,True,prefix_tuning,397.4032,215.172,26.9,2890869192407040.0,0.5700594296290341,10.0,10.0,8551,397.75651240348816,0.575188398361206,,2.4654,423.059,53.136,10.0,10.0,0.2114974440725976,,
2,2,saad,2024-07-23 17:51:20.438528,distilbert/distilbert-base-uncased,glue,cola,True,mam_adapter,490.1472,174.458,21.81,3630765216921600.0,0.2917654132040111,10.0,10.0,8551,490.5100691318512,1.084819793701172,,2.6216,397.85,49.97,10.0,10.0,0.5070207143299597,,
3,3,saad,2024-07-23 17:51:20.438528,distilbert/distilbert-base-uncased,glue,cola,True,compacter_plusplus,402.2958,212.555,26.572,2873652704778240.0,0.5456804009661482,10.0,10.0,8551,402.6668004989624,0.5607894659042358,,2.3766,438.854,55.12,10.0,10.0,0.3366442390492458,,
4,4,saad,2024-07-23 17:51:20.438528,distilbert/distilbert-base-uncased,glue,cola,True,unipelt,610.404,140.088,17.513,3249320457676800.0,0.3962044668599085,10.0,10.0,8551,610.7669444084167,0.623809814453125,,3.1833,327.644,41.152,10.0,10.0,0.5123240976315012,,
5,5,saad,2024-07-23 17:51:20.438528,distilbert/distilbert-base-uncased,glue,cola,True,lora,380.1093,224.962,28.123,2882395969566720.0,0.4753984756398357,10.0,10.0,8551,380.48180174827576,0.5173315405845642,,2.2086,472.252,59.314,10.0,10.0,0.4420898648237221,,
6,6,saad,2024-07-23 17:51:20.438528,distilbert/distilbert-base-uncased,glue,cola,True,seq_bn_16_2_relu,429.2571,199.205,24.903,3134947185162240.0,0.3314804334078468,10.0,10.0,8551,429.6301605701447,0.8720617294311523,,2.3905,436.319,54.801,10.0,10.0,0.5165560626605169,,
7,7,saad,2024-07-23 17:51:20.438528,distilbert/distilbert-base-uncased,glue,cola,True,seq_bn_16_2_tanh,428.5864,199.516,24.942,3134947185162240.0,0.2846798360626534,10.0,10.0,8551,428.949355840683,1.0686208009719849,,2.3825,437.784,54.985,10.0,10.0,0.5037970015010991,,
8,8,saad,2024-07-23 17:51:20.438528,distilbert/distilbert-base-uncased,glue,cola,True,ia3,390.5485,218.948,27.372,2874527976929280.0,0.5426756270919814,10.0,10.0,8551,390.9179871082306,0.5583287477493286,,2.2052,472.971,59.405,10.0,10.0,0.3362412593406067,,
9,9,saad,2024-07-23 17:51:20.438528,distilbert/distilbert-base-uncased,glue,cola,True,prompt_tuning,413.4873,206.802,25.853,2872712286320640.0,0.592404982706896,10.0,10.0,8551,413.8621878623962,0.5954628586769104,,2.4232,430.414,54.06,10.0,10.0,0.0592680243795702,,
0,0,saad,2024-07-23 23:38:47.054797,facebook/bart-base,glue,cola,True,seq_bn,915.0354,93.45,11.683,6673697053025280.0,0.4883068316667519,10.0,10.0,8551,915.6446123123168,0.701732337474823,,5.3031,196.679,24.703,10.0,10.0,0.3738775071170718,,
1,1,saad,2024-07-23 23:38:47.054797,facebook/bart-base,glue,cola,True,prefix_tuning,882.4006,96.906,12.115,6610677458150400.0,0.5749270547094247,10.0,10.0,8551,882.8280439376831,0.6017991900444031,,5.4731,190.569,23.935,10.0,10.0,0.1819755734297133,,
2,2,saad,2024-07-23 23:38:47.054797,facebook/bart-base,glue,cola,True,mam_adapter,1139.2166,75.06,9.384,8597503211136000.0,0.3891373180250234,10.0,10.0,8551,1139.6644768714905,0.9915817379951476,,6.0077,173.611,21.805,10.0,10.0,0.4899667634004927,,
3,3,saad,2024-07-23 23:38:47.054797,facebook/bart-base,glue,cola,True,compacter_plusplus,884.6242,96.663,12.084,6558083373818880.0,0.5729236627762512,10.0,10.0,8551,885.0720038414001,0.6193585991859436,,5.1632,202.007,25.372,10.0,10.0,0.1361132068267529,,
4,4,saad,2024-07-23 23:38:47.054797,facebook/bart-base,glue,cola,True,unipelt,1489.7783,57.398,7.176,7656355666544640.0,0.4707318868895799,10.0,10.0,8551,1490.2154576778412,0.6074903607368469,,7.2451,143.959,18.081,10.0,10.0,0.4882441186441421,,
5,5,saad,2024-07-23 23:38:47.054797,facebook/bart-base,glue,cola,True,lora,884.8155,96.642,12.082,6585257789629440.0,0.5121992491248393,10.0,10.0,8551,885.2769820690155,0.6913231611251831,,5.2253,199.607,25.071,10.0,10.0,0.3420819161583976,,
