,user_name,generated_on,train_loss,grad_norm,learning_rate,epoch,step_x,val_loss,eval_matthews_correlation,eval_runtime,eval_samples_per_second,eval_steps_per_second,step_y,model_string,dataset_name,task_name,used_adapter,adapter_type
0,saad,2024-07-23 23:51:36.807260,0.545,8.641922950744629,4.5e-05,1.0,1069,0.5303561687469482,0.3771311365217601,1.9301,540.379,67.871,1069,distilbert/distilbert-base-uncased,glue,cola,False,NA
1,saad,2024-07-23 23:51:36.807260,0.3701,15.424344062805176,4e-05,2.0,2138,0.5964295864105225,0.43961563823597094,1.9399,537.644,67.528,2138,distilbert/distilbert-base-uncased,glue,cola,False,NA
2,saad,2024-07-23 23:51:36.807260,0.2806,0.6853050589561462,3.5e-05,3.0,3207,0.7660745978355408,0.45776138182831266,1.944,536.52,67.386,3207,distilbert/distilbert-base-uncased,glue,cola,False,NA
3,saad,2024-07-23 23:51:36.807260,0.1987,0.04857676103711128,3e-05,4.0,4276,1.0532758235931396,0.5074384885743003,1.947,535.701,67.284,4276,distilbert/distilbert-base-uncased,glue,cola,False,NA
4,saad,2024-07-23 23:51:36.807260,0.1421,23.297897338867188,2.5e-05,5.0,5345,1.08181893825531,0.4940196321460142,1.9454,536.144,67.339,5345,distilbert/distilbert-base-uncased,glue,cola,False,NA
5,saad,2024-07-23 23:51:36.807260,0.0948,0.061111096292734146,2e-05,6.0,6414,1.3671742677688599,0.4691908650029954,1.9513,534.517,67.135,6414,distilbert/distilbert-base-uncased,glue,cola,False,NA
6,saad,2024-07-23 23:51:36.807260,0.0625,0.07499538362026215,1.5e-05,7.0,7483,1.3781805038452148,0.497129893901161,1.942,537.086,67.458,7483,distilbert/distilbert-base-uncased,glue,cola,False,NA
7,saad,2024-07-23 23:51:36.807260,0.0385,0.0031641749665141106,1e-05,8.0,8552,1.5322105884552002,0.47674556177629346,1.9467,535.782,67.294,8552,distilbert/distilbert-base-uncased,glue,cola,False,NA
8,saad,2024-07-23 23:51:36.807260,0.0262,0.0017627367051318288,5e-06,9.0,9621,1.7117551565170288,0.4968948635850979,1.9337,539.387,67.747,9621,distilbert/distilbert-base-uncased,glue,cola,False,NA
9,saad,2024-07-23 23:51:36.807260,0.0143,0.008081776089966297,0.0,10.0,10690,1.7220187187194824,0.5052273447208777,1.9461,535.93,67.312,10690,distilbert/distilbert-base-uncased,glue,cola,False,NA
10,saad,2024-07-23 23:51:36.807260,0.0143,0.008081776089966297,0.0,10.0,10690,1.7220187187194824,0.5052273447208777,1.9348,539.081,67.708,10690,distilbert/distilbert-base-uncased,glue,cola,False,NA
