,user_name,generated_on,train_loss,grad_norm,learning_rate,epoch,step_x,val_loss,eval_matthews_correlation,eval_runtime,eval_samples_per_second,eval_steps_per_second,step_y,model_string,dataset_name,task_name,used_adapter,adapter_type
0,saad,2024-07-23 17:51:20.484545,0.5518,3.577699899673462,4.5e-05,1.0,1069,0.5651082396507263,0.3639324656122657,2.1484,485.481,60.976,1069,distilbert/distilbert-base-uncased,glue,cola,True,seq_bn
1,saad,2024-07-23 17:51:20.484545,0.4942,2.555694580078125,4e-05,2.0,2138,0.4889872074127197,0.4377065609249258,2.1281,490.11,61.557,2138,distilbert/distilbert-base-uncased,glue,cola,True,seq_bn
2,saad,2024-07-23 17:51:20.484545,0.4569,2.6346704959869385,3.5e-05,3.0,3207,0.5238543748855591,0.44558070858617893,2.1556,483.849,60.771,3207,distilbert/distilbert-base-uncased,glue,cola,True,seq_bn
3,saad,2024-07-23 17:51:20.484545,0.4266,4.8165202140808105,3e-05,4.0,4276,0.5696834921836853,0.45284040101677564,2.157,483.533,60.731,4276,distilbert/distilbert-base-uncased,glue,cola,True,seq_bn
4,saad,2024-07-23 17:51:20.484545,0.4089,7.472568988800049,2.5e-05,5.0,5345,0.5419943928718567,0.4750135924085151,2.152,484.661,60.873,5345,distilbert/distilbert-base-uncased,glue,cola,True,seq_bn
5,saad,2024-07-23 17:51:20.484545,0.3898,4.777122974395752,2e-05,6.0,6414,0.5198450684547424,0.4894919726378361,2.1562,483.722,60.755,6414,distilbert/distilbert-base-uncased,glue,cola,True,seq_bn
6,saad,2024-07-23 17:51:20.484545,0.3701,2.3979501724243164,1.5e-05,7.0,7483,0.541730523109436,0.5070207143299597,2.1586,483.176,60.687,7483,distilbert/distilbert-base-uncased,glue,cola,True,seq_bn
7,saad,2024-07-23 17:51:20.484545,0.3609,5.89639949798584,1e-05,8.0,8552,0.5734364986419678,0.47116468792848687,2.1324,489.116,61.433,8552,distilbert/distilbert-base-uncased,glue,cola,True,seq_bn
8,saad,2024-07-23 17:51:20.484545,0.353,8.092403411865234,5e-06,9.0,9621,0.5648781061172485,0.5127451929115474,2.1514,484.807,60.891,9621,distilbert/distilbert-base-uncased,glue,cola,True,seq_bn
9,saad,2024-07-23 17:51:20.484545,0.3404,7.0398077964782715,0.0,10.0,10690,0.6013100147247314,0.49249265259737396,2.1639,482.004,60.539,10690,distilbert/distilbert-base-uncased,glue,cola,True,seq_bn
10,saad,2024-07-23 17:51:20.484545,0.3404,7.0398077964782715,0.0,10.0,10690,0.6013100147247314,0.49249265259737396,2.1463,485.943,61.034,10690,distilbert/distilbert-base-uncased,glue,cola,True,seq_bn
0,saad,2024-07-23 17:51:20.484545,0.6031,1.5364274978637695,4.5e-05,1.0,1069,0.5957964658737183,0.0,2.2624,461.019,57.904,1069,distilbert/distilbert-base-uncased,glue,cola,True,prefix_tuning
1,saad,2024-07-23 17:51:20.484545,0.5857,1.9987221956253052,4e-05,2.0,2138,0.5857439041137695,0.06558874629318973,2.2479,463.995,58.277,2138,distilbert/distilbert-base-uncased,glue,cola,True,prefix_tuning
2,saad,2024-07-23 17:51:20.484545,0.5746,4.340914249420166,3.5e-05,3.0,3207,0.5754141211509705,0.15865151495625754,2.2564,462.248,58.058,3207,distilbert/distilbert-base-uncased,glue,cola,True,prefix_tuning
3,saad,2024-07-23 17:51:20.484545,0.57,2.4779257774353027,3e-05,4.0,4276,0.6126425862312317,0.1315571677438866,2.2545,462.638,58.107,4276,distilbert/distilbert-base-uncased,glue,cola,True,prefix_tuning
4,saad,2024-07-23 17:51:20.484545,0.566,2.5457255840301514,2.5e-05,5.0,5345,0.5835121273994446,0.1773183672667882,2.2459,464.396,58.328,5345,distilbert/distilbert-base-uncased,glue,cola,True,prefix_tuning
5,saad,2024-07-23 17:51:20.484545,0.5662,2.4219954013824463,2e-05,6.0,6414,0.5682398676872253,0.22434212315736826,2.2632,460.849,57.882,6414,distilbert/distilbert-base-uncased,glue,cola,True,prefix_tuning
6,saad,2024-07-23 17:51:20.484545,0.5589,2.3468880653381348,1.5e-05,7.0,7483,0.5752199292182922,0.20740621404954238,2.3092,451.676,56.73,7483,distilbert/distilbert-base-uncased,glue,cola,True,prefix_tuning
7,saad,2024-07-23 17:51:20.484545,0.5612,4.2267985343933105,1e-05,8.0,8552,0.5691447854042053,0.2238024242962722,2.2748,458.503,57.588,8552,distilbert/distilbert-base-uncased,glue,cola,True,prefix_tuning
8,saad,2024-07-23 17:51:20.484545,0.56,3.696566343307495,5e-06,9.0,9621,0.5730094313621521,0.22111601236634604,2.2526,463.03,58.156,9621,distilbert/distilbert-base-uncased,glue,cola,True,prefix_tuning
