,user_name,generated_on,train_loss,grad_norm,learning_rate,epoch,step_x,val_loss,eval_matthews_correlation,eval_runtime,eval_samples_per_second,eval_steps_per_second,step_y,model_string,dataset_name,task_name,used_adapter,adapter_type
0,saad,2024-07-23 23:38:49.994800,0.5977,4.8657917976379395,4.5e-05,1.0,1069,0.6458126306533813,0.18022057570093403,5.4504,191.362,24.035,1069,facebook/bart-base,glue,cola,True,seq_bn
1,saad,2024-07-23 23:38:49.994800,0.5539,3.9171690940856934,4e-05,2.0,2138,0.5521448850631714,0.31236083623809213,5.253,198.554,24.938,2138,facebook/bart-base,glue,cola,True,seq_bn
2,saad,2024-07-23 23:38:49.994800,0.5145,3.534285068511963,3.5e-05,3.0,3207,0.6804619431495667,0.336858975377072,5.2568,198.408,24.92,3207,facebook/bart-base,glue,cola,True,seq_bn
3,saad,2024-07-23 23:38:49.994800,0.4899,4.307207107543945,3e-05,4.0,4276,0.7800580859184265,0.2855574786663306,5.2482,198.736,24.961,4276,facebook/bart-base,glue,cola,True,seq_bn
4,saad,2024-07-23 23:38:49.994800,0.4828,6.534283638000488,2.5e-05,5.0,5345,0.6886110305786133,0.33131549021585516,5.2703,197.9,24.856,5345,facebook/bart-base,glue,cola,True,seq_bn
5,saad,2024-07-23 23:38:49.994800,0.4662,2.409560203552246,2e-05,6.0,6414,0.5765989422798157,0.4189486545590709,5.2519,198.595,24.943,6414,facebook/bart-base,glue,cola,True,seq_bn
6,saad,2024-07-23 23:38:49.994800,0.4522,10.341727256774902,1.5e-05,7.0,7483,0.6787317991256714,0.3776909224682588,5.2613,198.24,24.899,7483,facebook/bart-base,glue,cola,True,seq_bn
7,saad,2024-07-23 23:38:49.994800,0.448,4.988024711608887,1e-05,8.0,8552,0.6503482460975647,0.39893294158237386,5.2756,197.702,24.831,8552,facebook/bart-base,glue,cola,True,seq_bn
8,saad,2024-07-23 23:38:49.994800,0.4427,8.157666206359863,5e-06,9.0,9621,0.6854058504104614,0.38339074887468044,5.2672,198.017,24.871,9621,facebook/bart-base,glue,cola,True,seq_bn
9,saad,2024-07-23 23:38:49.994800,0.4352,3.542032480239868,0.0,10.0,10690,0.701732337474823,0.3738775071170718,5.2794,197.559,24.813,10690,facebook/bart-base,glue,cola,True,seq_bn
10,saad,2024-07-23 23:38:49.994800,0.4352,3.542032480239868,0.0,10.0,10690,0.701732337474823,0.3738775071170718,5.2446,198.873,24.978,10690,facebook/bart-base,glue,cola,True,seq_bn
0,saad,2024-07-23 23:38:49.994800,0.61,4.919721603393555,4.5e-05,1.0,1069,0.6109262108802795,0.07216289396103202,5.6767,183.732,23.077,1069,facebook/bart-base,glue,cola,True,prefix_tuning
1,saad,2024-07-23 23:38:49.994800,0.5955,3.1243209838867188,4e-05,2.0,2138,0.5731440782546997,0.18118799119487816,5.407,192.899,24.228,2138,facebook/bart-base,glue,cola,True,prefix_tuning
2,saad,2024-07-23 23:38:49.994800,0.5799,4.732184410095215,3.5e-05,3.0,3207,0.6051802635192871,0.17269794723842352,5.4574,191.117,24.004,3207,facebook/bart-base,glue,cola,True,prefix_tuning
3,saad,2024-07-23 23:38:49.994800,0.5811,3.973762035369873,3e-05,4.0,4276,0.6671397686004639,0.11385516999396013,5.4198,192.443,24.171,4276,facebook/bart-base,glue,cola,True,prefix_tuning
