,user_name,generated_on,train_loss,grad_norm,learning_rate,epoch,step_x,val_loss,eval_matthews_correlation,eval_runtime,eval_samples_per_second,eval_steps_per_second,step_y,model_string,dataset_name,task_name,used_adapter,adapter_type
0,saad,2024-07-24 00:15:40.622874,0.4683,6.101716995239258,4.5e-05,1.0,1069,0.4013020694255829,0.5907527969578087,3.9354,265.031,33.288,1069,google/electra-base-discriminator,glue,cola,False,NA
1,saad,2024-07-24 00:15:40.622874,0.3399,24.034029006958008,4e-05,2.0,2138,0.5498946905136108,0.5920284737888375,3.9354,265.028,33.287,2138,google/electra-base-discriminator,glue,cola,False,NA
2,saad,2024-07-24 00:15:40.622874,0.2484,0.2286323457956314,3.5e-05,3.0,3207,0.7049973607063293,0.5868789269320265,3.932,265.256,33.316,3207,google/electra-base-discriminator,glue,cola,False,NA
3,saad,2024-07-24 00:15:40.622874,0.1719,0.06407234817743301,3e-05,4.0,4276,0.9381298422813416,0.6017582115322853,3.9332,265.178,33.306,4276,google/electra-base-discriminator,glue,cola,False,NA
4,saad,2024-07-24 00:15:40.622874,0.1221,11.280983924865723,2.5e-05,5.0,5345,0.9416934847831726,0.5752615459764325,3.9346,265.081,33.294,5345,google/electra-base-discriminator,glue,cola,False,NA
5,saad,2024-07-24 00:15:40.622874,0.0745,0.012998802587389946,2e-05,6.0,6414,1.0175548791885376,0.6299363451317245,3.9364,264.963,33.279,6414,google/electra-base-discriminator,glue,cola,False,NA
6,saad,2024-07-24 00:15:40.622874,0.0545,0.24965211749076843,1.5e-05,7.0,7483,1.2276440858840942,0.6173572113093196,3.9211,266.0,33.409,7483,google/electra-base-discriminator,glue,cola,False,NA
7,saad,2024-07-24 00:15:40.622874,0.0369,0.4916476011276245,1e-05,8.0,8552,1.1874616146087646,0.6265913598426309,3.9036,267.188,33.559,8552,google/electra-base-discriminator,glue,cola,False,NA
8,saad,2024-07-24 00:15:40.622874,0.0244,0.0013091468717902899,5e-06,9.0,9621,1.1949012279510498,0.6358835820536083,3.9333,265.172,33.305,9621,google/electra-base-discriminator,glue,cola,False,NA
9,saad,2024-07-24 00:15:40.622874,0.0123,0.0019216067157685757,0.0,10.0,10690,1.2969566583633423,0.6188970025554703,3.9192,266.127,33.425,10690,google/electra-base-discriminator,glue,cola,False,NA
10,saad,2024-07-24 00:15:40.622874,0.0123,0.0019216067157685757,0.0,10.0,10690,1.2969566583633423,0.6188970025554703,3.9315,265.294,33.321,10690,google/electra-base-discriminator,glue,cola,False,NA
