,user_name,generated_on,train_loss,grad_norm,learning_rate,epoch,step_x,val_loss,eval_matthews_correlation,eval_runtime,eval_samples_per_second,eval_steps_per_second,step_y,model_string,dataset_name,task_name,used_adapter,adapter_type
0,saad,2024-07-23 19:42:36.772299,0.4382,4.888308048248291,4.5e-05,1.0,1069,0.37868353724479675,0.594786450396496,4.229,246.632,30.977,1069,google/electra-base-discriminator,glue,cola,True,seq_bn
1,saad,2024-07-23 19:42:36.772299,0.381,2.4247665405273438,4e-05,2.0,2138,0.3908699154853821,0.6397192569304163,4.2551,245.116,30.786,2138,google/electra-base-discriminator,glue,cola,True,seq_bn
2,saad,2024-07-23 19:42:36.772299,0.3496,2.64524507522583,3.5e-05,3.0,3207,0.37219810485839844,0.6358835820536083,4.2999,242.567,30.466,3207,google/electra-base-discriminator,glue,cola,True,seq_bn
3,saad,2024-07-23 19:42:36.772299,0.3222,5.243799686431885,3e-05,4.0,4276,0.4272121489048004,0.6504245143813093,4.2699,244.27,30.68,4276,google/electra-base-discriminator,glue,cola,True,seq_bn
4,saad,2024-07-23 19:42:36.772299,0.3022,10.002937316894531,2.5e-05,5.0,5345,0.4743401110172272,0.6602588467116962,4.2612,244.767,30.742,5345,google/electra-base-discriminator,glue,cola,True,seq_bn
5,saad,2024-07-23 19:42:36.772299,0.2843,3.840388298034668,2e-05,6.0,6414,0.39731237292289734,0.6569300311970928,4.2516,245.322,30.812,6414,google/electra-base-discriminator,glue,cola,True,seq_bn
6,saad,2024-07-23 19:42:36.772299,0.2656,6.740818977355957,1.5e-05,7.0,7483,0.42261481285095215,0.6812098565090193,4.254,245.182,30.795,7483,google/electra-base-discriminator,glue,cola,True,seq_bn
7,saad,2024-07-23 19:42:36.772299,0.2595,6.81569766998291,1e-05,8.0,8552,0.43208304047584534,0.6757073194553476,4.2531,245.23,30.801,8552,google/electra-base-discriminator,glue,cola,True,seq_bn
8,saad,2024-07-23 19:42:36.772299,0.2507,8.396042823791504,5e-06,9.0,9621,0.4373858571052551,0.6715663598455622,4.2563,245.047,30.778,9621,google/electra-base-discriminator,glue,cola,True,seq_bn
9,saad,2024-07-23 19:42:36.772299,0.248,4.8700337409973145,0.0,10.0,10690,0.4369683861732483,0.6850707271866645,4.2573,244.991,30.771,10690,google/electra-base-discriminator,glue,cola,True,seq_bn
10,saad,2024-07-23 19:42:36.772299,0.248,4.8700337409973145,0.0,10.0,10690,0.4369683861732483,0.6850707271866645,4.2704,244.237,30.676,10690,google/electra-base-discriminator,glue,cola,True,seq_bn
0,saad,2024-07-23 19:42:36.772299,0.5218,1.5928981304168701,4.5e-05,1.0,1069,0.462195485830307,0.5137796232907349,4.3066,242.185,30.418,1069,google/electra-base-discriminator,glue,cola,True,prefix_tuning
1,saad,2024-07-23 19:42:36.772299,0.4865,1.4686628580093384,4e-05,2.0,2138,0.4415002167224884,0.5069898363255262,4.3211,241.373,30.316,2138,google/electra-base-discriminator,glue,cola,True,prefix_tuning
2,saad,2024-07-23 19:42:36.772299,0.4806,1.2429442405700684,3.5e-05,3.0,3207,0.4458271265029907,0.4835648238610055,4.3044,242.312,30.434,3207,google/electra-base-discriminator,glue,cola,True,prefix_tuning
3,saad,2024-07-23 19:42:36.772299,0.4676,1.0864309072494507,3e-05,4.0,4276,0.5061576962471008,0.4538429410217894,4.3113,241.92,30.385,4276,google/electra-base-discriminator,glue,cola,True,prefix_tuning
4,saad,2024-07-23 19:42:36.772299,0.4689,3.648357391357422,2.5e-05,5.0,5345,0.47532156109809875,0.4679085048548991,4.3996,237.069,29.776,5345,google/electra-base-discriminator,glue,cola,True,prefix_tuning
5,saad,2024-07-23 19:42:36.772299,0.4597,2.3716135025024414,2e-05,6.0,6414,0.4434005320072174,0.49380532984629394,4.3231,241.26,30.302,6414,google/electra-base-discriminator,glue,cola,True,prefix_tuning
6,saad,2024-07-23 19:42:36.772299,0.4607,2.951089859008789,1.5e-05,7.0,7483,0.4329994320869446,0.5022774185444647,4.3442,240.088,30.155,7483,google/electra-base-discriminator,glue,cola,True,prefix_tuning
7,saad,2024-07-23 19:42:36.772299,0.4641,4.403950214385986,1e-05,8.0,8552,0.4353155791759491,0.5045859154729114,4.3111,241.933,30.387,8552,google/electra-base-discriminator,glue,cola,True,prefix_tuning
8,saad,2024-07-23 19:42:36.772299,0.4624,4.210898399353027,5e-06,9.0,9621,0.4252399206161499,0.5128707947122957,4.3153,241.696,30.357,9621,google/electra-base-discriminator,glue,cola,True,prefix_tuning
9,saad,2024-07-23 19:42:36.772299,0.4551,2.1325788497924805,0.0,10.0,10690,0.43378886580467224,0.499254961251443,4.3505,239.742,30.111,10690,google/electra-base-discriminator,glue,cola,True,prefix_tuning
10,saad,2024-07-23 19:42:36.772299,0.4551,2.1325788497924805,0.0,10.0,10690,0.43378886580467224,0.499254961251443,4.2972,242.718,30.485,10690,google/electra-base-discriminator,glue,cola,True,prefix_tuning
0,saad,2024-07-23 19:42:36.772299,0.4486,10.202503204345703,4.5e-05,1.0,1069,0.339340478181839,0.6448012849066597,4.7116,221.366,27.803,1069,google/electra-base-discriminator,glue,cola,True,mam_adapter
1,saad,2024-07-23 19:42:36.772299,0.3279,7.668515205383301,4e-05,2.0,2138,0.5123263001441956,0.6502677783774445,4.7561,219.295,27.543,2138,google/electra-base-discriminator,glue,cola,True,mam_adapter
2,saad,2024-07-23 19:42:36.772299,0.2467,0.2822071313858032,3.5e-05,3.0,3207,0.5084301233291626,0.66106879435309,4.7467,219.732,27.598,3207,google/electra-base-discriminator,glue,cola,True,mam_adapter
3,saad,2024-07-23 19:42:36.772299,0.1838,0.08201209455728531,3e-05,4.0,4276,0.6714035868644714,0.6673556229017432,4.7559,219.308,27.545,4276,google/electra-base-discriminator,glue,cola,True,mam_adapter
4,saad,2024-07-23 19:42:36.772299,0.1403,20.274127960205078,2.5e-05,5.0,5345,0.6241949796676636,0.6584517594531896,4.7611,219.065,27.514,5345,google/electra-base-discriminator,glue,cola,True,mam_adapter
5,saad,2024-07-23 19:42:36.772299,0.1029,2.1549384593963623,2e-05,6.0,6414,0.7663365602493286,0.6574528239214805,4.7633,218.965,27.502,6414,google/electra-base-discriminator,glue,cola,True,mam_adapter
6,saad,2024-07-23 19:42:36.772299,0.0738,0.023495439440011978,1.5e-05,7.0,7483,0.8480203151702881,0.6479876361505273,4.7527,219.455,27.563,7483,google/electra-base-discriminator,glue,cola,True,mam_adapter
7,saad,2024-07-23 19:42:36.772299,0.0578,0.5794969797134399,1e-05,8.0,8552,0.9431672692298889,0.6517336997827814,4.7557,219.315,27.546,8552,google/electra-base-discriminator,glue,cola,True,mam_adapter
8,saad,2024-07-23 19:42:36.772299,0.0446,0.014374102465808392,5e-06,9.0,9621,0.9957239031791687,0.6560784440192381,4.7617,219.04,27.511,9621,google/electra-base-discriminator,glue,cola,True,mam_adapter
9,saad,2024-07-23 19:42:36.772299,0.031,0.007171208038926125,0.0,10.0,10690,1.073210597038269,0.6564012470679357,4.757,219.256,27.538,10690,google/electra-base-discriminator,glue,cola,True,mam_adapter
10,saad,2024-07-23 19:42:36.772299,0.031,0.007171208038926125,0.0,10.0,10690,1.073210597038269,0.6564012470679357,4.7481,219.665,27.59,10690,google/electra-base-discriminator,glue,cola,True,mam_adapter
0,saad,2024-07-23 19:42:36.772299,0.4697,2.923266887664795,4.5e-05,1.0,1069,0.4090545177459717,0.5508182716655207,3.9709,262.658,32.99,1069,google/electra-base-discriminator,glue,cola,True,compacter_plusplus
1,saad,2024-07-23 19:42:36.772299,0.4534,1.496316909790039,4e-05,2.0,2138,0.40841567516326904,0.5422671648885407,4.0149,259.783,32.629,2138,google/electra-base-discriminator,glue,cola,True,compacter_plusplus
2,saad,2024-07-23 19:42:36.772299,0.432,2.458949565887451,3.5e-05,3.0,3207,0.39842885732650757,0.547116568580723,4.0071,260.288,32.692,3207,google/electra-base-discriminator,glue,cola,True,compacter_plusplus
3,saad,2024-07-23 19:42:36.772299,0.4302,1.7843995094299316,3e-05,4.0,4276,0.46084064245224,0.5118623490967646,4.0065,260.325,32.697,4276,google/electra-base-discriminator,glue,cola,True,compacter_plusplus
4,saad,2024-07-23 19:42:36.772299,0.4343,3.4339704513549805,2.5e-05,5.0,5345,0.4242977499961853,0.5364128958265776,4.0628,256.72,32.244,5345,google/electra-base-discriminator,glue,cola,True,compacter_plusplus
5,saad,2024-07-23 19:42:36.772299,0.4234,1.6853958368301392,2e-05,6.0,6414,0.4102407693862915,0.5365057053910051,4.0336,258.575,32.477,6414,google/electra-base-discriminator,glue,cola,True,compacter_plusplus
6,saad,2024-07-23 19:42:36.772299,0.4134,2.790062665939331,1.5e-05,7.0,7483,0.39916136860847473,0.5601977832642419,4.0372,258.347,32.448,7483,google/electra-base-discriminator,glue,cola,True,compacter_plusplus
7,saad,2024-07-23 19:42:36.772299,0.4147,4.596685886383057,1e-05,8.0,8552,0.3959415853023529,0.5703980726573153,4.0162,259.696,32.618,8552,google/electra-base-discriminator,glue,cola,True,compacter_plusplus
8,saad,2024-07-23 19:42:36.772299,0.4134,4.9811177253723145,5e-06,9.0,9621,0.3867000341415405,0.57368884664922,3.9985,260.845,32.762,9621,google/electra-base-discriminator,glue,cola,True,compacter_plusplus
9,saad,2024-07-23 19:42:36.772299,0.4165,3.0953750610351562,0.0,10.0,10690,0.39554157853126526,0.5703980726573153,4.0035,260.52,32.721,10690,google/electra-base-discriminator,glue,cola,True,compacter_plusplus
10,saad,2024-07-23 19:42:36.772299,0.4165,3.0953750610351562,0.0,10.0,10690,0.39554157853126526,0.5703980726573153,4.0097,260.12,32.671,10690,google/electra-base-discriminator,glue,cola,True,compacter_plusplus
0,saad,2024-07-23 19:42:36.772299,0.4364,4.605608940124512,4.5e-05,1.0,1069,0.37847375869750977,0.6100178805092891,5.3949,193.33,24.282,1069,google/electra-base-discriminator,glue,cola,True,unipelt
1,saad,2024-07-23 19:42:36.772299,0.3617,3.5064587593078613,4e-05,2.0,2138,0.37992435693740845,0.6439484419029815,5.3974,193.242,24.271,2138,google/electra-base-discriminator,glue,cola,True,unipelt
2,saad,2024-07-23 19:42:36.772299,0.3169,0.4586929976940155,3.5e-05,3.0,3207,0.3970617353916168,0.6558371211545774,5.3977,193.232,24.27,3207,google/electra-base-discriminator,glue,cola,True,unipelt
3,saad,2024-07-23 19:42:36.772299,0.2907,4.220705509185791,3e-05,4.0,4276,0.42795872688293457,0.6629283848304953,5.4222,192.357,24.16,4276,google/electra-base-discriminator,glue,cola,True,unipelt
4,saad,2024-07-23 19:42:36.772299,0.2658,7.081720352172852,2.5e-05,5.0,5345,0.4307313561439514,0.6897247482838239,5.4123,192.71,24.204,5345,google/electra-base-discriminator,glue,cola,True,unipelt
5,saad,2024-07-23 19:42:36.772299,0.2485,0.543518602848053,2e-05,6.0,6414,0.4624330699443817,0.6870782147152102,5.2772,197.641,24.824,6414,google/electra-base-discriminator,glue,cola,True,unipelt
6,saad,2024-07-23 19:42:36.772299,0.2249,15.57075023651123,1.5e-05,7.0,7483,0.4779435992240906,0.7094383543174491,5.3788,193.91,24.355,7483,google/electra-base-discriminator,glue,cola,True,unipelt
7,saad,2024-07-23 19:42:36.772299,0.2098,7.545689582824707,1e-05,8.0,8552,0.5070492029190063,0.7113729334466663,5.4147,192.624,24.193,8552,google/electra-base-discriminator,glue,cola,True,unipelt
8,saad,2024-07-23 19:42:36.772299,0.2031,14.222601890563965,5e-06,9.0,9621,0.4868764579296112,0.7075361924877996,5.3797,193.876,24.351,9621,google/electra-base-discriminator,glue,cola,True,unipelt
9,saad,2024-07-23 19:42:36.772299,0.1784,13.61841869354248,0.0,10.0,10690,0.5356751680374146,0.6875144669936191,5.3934,193.386,24.289,10690,google/electra-base-discriminator,glue,cola,True,unipelt
10,saad,2024-07-23 19:42:36.772299,0.1784,13.61841869354248,0.0,10.0,10690,0.5356751680374146,0.6875144669936191,5.4356,191.885,24.101,10690,google/electra-base-discriminator,glue,cola,True,unipelt
0,saad,2024-07-23 19:42:36.772299,0.4568,4.038868427276611,4.5e-05,1.0,1069,0.3941890001296997,0.5932805322494611,4.0143,259.823,32.634,1069,google/electra-base-discriminator,glue,cola,True,lora
1,saad,2024-07-23 19:42:36.772299,0.4134,2.200430393218994,4e-05,2.0,2138,0.40862223505973816,0.5982632727547974,4.0346,258.511,32.469,2138,google/electra-base-discriminator,glue,cola,True,lora
2,saad,2024-07-23 19:42:36.772299,0.3865,1.9446874856948853,3.5e-05,3.0,3207,0.38914361596107483,0.6006530974238766,4.0164,259.688,32.617,3207,google/electra-base-discriminator,glue,cola,True,lora
3,saad,2024-07-23 19:42:36.772299,0.3685,3.942735433578491,3e-05,4.0,4276,0.44012632966041565,0.5965876022846417,4.0315,258.712,32.494,4276,google/electra-base-discriminator,glue,cola,True,lora
4,saad,2024-07-23 19:42:36.772299,0.3578,6.412314414978027,2.5e-05,5.0,5345,0.4441990256309509,0.6182318665058879,4.0235,259.23,32.559,5345,google/electra-base-discriminator,glue,cola,True,lora
5,saad,2024-07-23 19:42:36.772299,0.3486,4.311243534088135,2e-05,6.0,6414,0.4042177200317383,0.6210093223610296,4.027,259.004,32.531,6414,google/electra-base-discriminator,glue,cola,True,lora
6,saad,2024-07-23 19:42:36.772299,0.3352,6.383062362670898,1.5e-05,7.0,7483,0.4058398902416229,0.6389155058365095,4.0618,256.785,32.252,7483,google/electra-base-discriminator,glue,cola,True,lora
7,saad,2024-07-23 19:42:36.772299,0.3343,5.024120330810547,1e-05,8.0,8552,0.4004192352294922,0.6417812098009434,4.0486,257.618,32.357,8552,google/electra-base-discriminator,glue,cola,True,lora
8,saad,2024-07-23 19:42:36.772299,0.3295,6.301756381988525,5e-06,9.0,9621,0.3937431871891022,0.6474535499647986,4.038,258.297,32.442,9621,google/electra-base-discriminator,glue,cola,True,lora
9,saad,2024-07-23 19:42:36.772299,0.3298,6.778611183166504,0.0,10.0,10690,0.4074217677116394,0.6408545460827202,4.0126,259.931,32.647,10690,google/electra-base-discriminator,glue,cola,True,lora
10,saad,2024-07-23 19:42:36.772299,0.3298,6.778611183166504,0.0,10.0,10690,0.4074217677116394,0.6408545460827202,4.0086,260.188,32.679,10690,google/electra-base-discriminator,glue,cola,True,lora
0,saad,2024-07-23 19:42:36.772299,0.4265,5.534662246704102,4.5e-05,1.0,1069,0.37013766169548035,0.6374564262486978,4.4345,235.202,29.541,1069,google/electra-base-discriminator,glue,cola,True,seq_bn_16_2_relu
1,saad,2024-07-23 19:42:36.772299,0.3492,7.27575159072876,4e-05,2.0,2138,0.38692012429237366,0.6844065307788613,4.4802,232.803,29.24,2138,google/electra-base-discriminator,glue,cola,True,seq_bn_16_2_relu
2,saad,2024-07-23 19:42:36.772299,0.3009,0.7529687285423279,3.5e-05,3.0,3207,0.40966805815696716,0.670267087346549,4.4876,232.416,29.191,3207,google/electra-base-discriminator,glue,cola,True,seq_bn_16_2_relu
3,saad,2024-07-23 19:42:36.772299,0.2609,8.869537353515625,3e-05,4.0,4276,0.478135347366333,0.6846092401561853,4.4566,234.037,29.395,4276,google/electra-base-discriminator,glue,cola,True,seq_bn_16_2_relu
4,saad,2024-07-23 19:42:36.772299,0.2295,16.46124267578125,2.5e-05,5.0,5345,0.593597412109375,0.6798397064015891,4.468,233.438,29.32,5345,google/electra-base-discriminator,glue,cola,True,seq_bn_16_2_relu
5,saad,2024-07-23 19:42:36.772299,0.194,16.04697608947754,2e-05,6.0,6414,0.5743637681007385,0.6943170309998351,4.4526,234.245,29.421,6414,google/electra-base-discriminator,glue,cola,True,seq_bn_16_2_relu
6,saad,2024-07-23 19:42:36.772299,0.1695,0.1702832281589508,1.5e-05,7.0,7483,0.5644198060035706,0.6981802382207885,4.4814,232.742,29.232,7483,google/electra-base-discriminator,glue,cola,True,seq_bn_16_2_relu
7,saad,2024-07-23 19:42:36.772299,0.1584,11.373400688171387,1e-05,8.0,8552,0.6096343994140625,0.7042058024290269,4.4732,233.165,29.285,8552,google/electra-base-discriminator,glue,cola,True,seq_bn_16_2_relu
8,saad,2024-07-23 19:42:36.772299,0.1462,8.224292755126953,5e-06,9.0,9621,0.6200279593467712,0.6977692912099819,4.5225,230.622,28.966,9621,google/electra-base-discriminator,glue,cola,True,seq_bn_16_2_relu
9,saad,2024-07-23 19:42:36.772299,0.1404,42.243568420410156,0.0,10.0,10690,0.6213493347167969,0.7068649074843276,4.4665,233.516,29.329,10690,google/electra-base-discriminator,glue,cola,True,seq_bn_16_2_relu
10,saad,2024-07-23 19:42:36.772299,0.1404,42.243568420410156,0.0,10.0,10690,0.6213493347167969,0.7068649074843276,4.4817,232.724,29.23,10690,google/electra-base-discriminator,glue,cola,True,seq_bn_16_2_relu
