,user_name,generated_on,train_loss,grad_norm,learning_rate,epoch,step_x,val_loss,eval_matthews_correlation,eval_runtime,eval_samples_per_second,eval_steps_per_second,step_y,model_string,dataset_name,task_name,used_adapter,adapter_type
0,saad,2024-07-25 23:45:49.572793,0.4208,5.923742771148682,4.5e-05,1.0,1069,0.35829591751098633,0.6389155058365095,4.2414,245.907,30.886,1069,google/electra-base-discriminator,glue,cola,True,seq_bn_16_2_tanh
1,saad,2024-07-25 23:45:49.572793,0.3094,4.664074420928955,4e-05,2.0,2138,0.39266276359558105,0.6683232889248042,4.2951,242.836,30.5,2138,google/electra-base-discriminator,glue,cola,True,seq_bn_16_2_tanh
2,saad,2024-07-25 23:45:49.572793,0.2403,2.433555841445923,3.5e-05,3.0,3207,0.4279763400554657,0.6693263342369867,4.3607,239.179,30.041,3207,google/electra-base-discriminator,glue,cola,True,seq_bn_16_2_tanh
3,saad,2024-07-25 23:45:49.572793,0.1875,2.1058292388916016,3e-05,4.0,4276,0.5438792109489441,0.665357196937062,4.3588,239.284,30.054,4276,google/electra-base-discriminator,glue,cola,True,seq_bn_16_2_tanh
4,saad,2024-07-25 23:45:49.572793,0.1477,18.511302947998047,2.5e-05,5.0,5345,0.6268388032913208,0.660301076782038,4.3946,237.335,29.809,5345,google/electra-base-discriminator,glue,cola,True,seq_bn_16_2_tanh
5,saad,2024-07-25 23:45:49.572793,0.1207,24.43017578125,2e-05,6.0,6414,0.6274478435516357,0.6750024002589107,4.3732,238.5,29.955,6414,google/electra-base-discriminator,glue,cola,True,seq_bn_16_2_tanh
6,saad,2024-07-25 23:45:49.572793,0.1003,6.514897346496582,1.5e-05,7.0,7483,0.6620615124702454,0.687653073292803,4.4152,236.229,29.67,7483,google/electra-base-discriminator,glue,cola,True,seq_bn_16_2_tanh
7,saad,2024-07-25 23:45:49.572793,0.0865,19.546916961669922,1e-05,8.0,8552,0.6995722055435181,0.6827589006047768,4.4295,235.464,29.574,8552,google/electra-base-discriminator,glue,cola,True,seq_bn_16_2_tanh
8,saad,2024-07-25 23:45:49.572793,0.077,22.614608764648438,5e-06,9.0,9621,0.6936150789260864,0.6715663598455622,4.4118,236.411,29.693,9621,google/electra-base-discriminator,glue,cola,True,seq_bn_16_2_tanh
9,saad,2024-07-25 23:45:49.572793,0.0768,0.22176504135131836,0.0,10.0,10690,0.7117281556129456,0.6757073194553476,4.4279,235.55,29.585,10690,google/electra-base-discriminator,glue,cola,True,seq_bn_16_2_tanh
10,saad,2024-07-25 23:45:49.572793,0.0768,0.22176504135131836,0.0,10.0,10690,0.7117281556129456,0.6757073194553476,4.414,236.296,29.679,10690,google/electra-base-discriminator,glue,cola,True,seq_bn_16_2_tanh
