,user_name,generated_on,train_loss,grad_norm,learning_rate,epoch,step_x,val_loss,eval_accuracy,eval_f1,eval_combined_score,eval_runtime,eval_samples_per_second,eval_steps_per_second,step_y,model_string,dataset_name,task_name,used_adapter,adapter_type
0,saad,2024-07-24 18:48:29.476932,0.5358,7.326822280883789,4.5e-05,1.0,459,0.4354827105998993,0.7990196078431373,0.8681672025723474,0.8335934052077423,0.771,529.208,66.151,459,distilbert/distilbert-base-uncased,glue,mrpc,False,NA
1,saad,2024-07-24 18:48:29.476932,0.3442,39.479122161865234,4e-05,2.0,918,0.561430811882019,0.8333333333333334,0.8819444444444444,0.8576388888888888,0.7853,519.558,64.945,918,distilbert/distilbert-base-uncased,glue,mrpc,False,NA
2,saad,2024-07-24 18:48:29.476932,0.2055,0.21394266188144684,3.5e-05,3.0,1377,0.7264769077301025,0.8284313725490197,0.8780487804878049,0.8532400765184123,0.7698,530.039,66.255,1377,distilbert/distilbert-base-uncased,glue,mrpc,False,NA
3,saad,2024-07-24 18:48:29.476932,0.1133,0.06347596645355225,3e-05,4.0,1836,0.8645519018173218,0.8333333333333334,0.8851351351351352,0.8592342342342343,0.7822,521.635,65.204,1836,distilbert/distilbert-base-uncased,glue,mrpc,False,NA
4,saad,2024-07-24 18:48:29.476932,0.0571,0.0071794926188886166,2.5e-05,5.0,2295,1.07436203956604,0.8333333333333334,0.8855218855218856,0.8594276094276094,0.7749,526.549,65.819,2295,distilbert/distilbert-base-uncased,glue,mrpc,False,NA
5,saad,2024-07-24 18:48:29.476932,0.0365,0.004378614481538534,2e-05,6.0,2754,1.1072278022766113,0.8504901960784313,0.8974789915966387,0.873984593837535,0.7819,521.799,65.225,2754,distilbert/distilbert-base-uncased,glue,mrpc,False,NA
6,saad,2024-07-24 18:48:29.476932,0.0186,0.0035104670096188784,1.5e-05,7.0,3213,1.1646677255630493,0.8431372549019608,0.8933333333333334,0.8682352941176471,0.7721,528.448,66.056,3213,distilbert/distilbert-base-uncased,glue,mrpc,False,NA
7,saad,2024-07-24 18:48:29.476932,0.0103,0.001756288344040513,1e-05,8.0,3672,1.359882116317749,0.8308823529411765,0.8859504132231406,0.8584163830821585,0.7832,520.938,65.117,3672,distilbert/distilbert-base-uncased,glue,mrpc,False,NA
8,saad,2024-07-24 18:48:29.476932,0.0126,0.004916050937026739,5e-06,9.0,4131,1.3226433992385864,0.8357843137254902,0.8873949579831933,0.8615896358543418,0.7686,530.831,66.354,4131,distilbert/distilbert-base-uncased,glue,mrpc,False,NA
9,saad,2024-07-24 18:48:29.476932,0.0124,0.0035832617431879044,0.0,10.0,4590,1.292177677154541,0.8406862745098039,0.8896434634974534,0.8651648690036287,0.7681,531.174,66.397,4590,distilbert/distilbert-base-uncased,glue,mrpc,False,NA
10,saad,2024-07-24 18:48:29.476932,0.0124,0.0035832617431879044,0.0,10.0,4590,1.292177677154541,0.8406862745098039,0.8896434634974534,0.8651648690036287,0.7608,536.256,67.032,4590,distilbert/distilbert-base-uncased,glue,mrpc,False,NA
