,user_name,generated_on,train_loss,grad_norm,learning_rate,epoch,step_x,val_loss,eval_accuracy,eval_f1,eval_combined_score,eval_runtime,eval_samples_per_second,eval_steps_per_second,step_y,model_string,dataset_name,task_name,used_adapter,adapter_type
0,saad,2024-07-24 18:41:44.965871,0.599,2.793659210205078,4.5e-05,1.0,459,0.5224401950836182,0.7254901960784313,0.8233438485804416,0.7744170223294364,0.8162,499.883,62.485,459,distilbert/distilbert-base-uncased,glue,mrpc,True,seq_bn
1,saad,2024-07-24 18:41:44.965871,0.5216,3.7142622470855713,4e-05,2.0,918,0.48499205708503723,0.7647058823529411,0.8466453674121406,0.8056756248825409,0.8021,508.689,63.586,918,distilbert/distilbert-base-uncased,glue,mrpc,True,seq_bn
2,saad,2024-07-24 18:41:44.965871,0.4652,1.8191062211990356,3.5e-05,3.0,1377,0.41441187262535095,0.7990196078431373,0.8481481481481481,0.8235838779956427,0.8133,501.683,62.71,1377,distilbert/distilbert-base-uncased,glue,mrpc,True,seq_bn
3,saad,2024-07-24 18:41:44.965871,0.4163,2.524158000946045,3e-05,4.0,1836,0.3860721290111542,0.8333333333333334,0.8839590443686006,0.858646188850967,0.8296,491.779,61.472,1836,distilbert/distilbert-base-uncased,glue,mrpc,True,seq_bn
4,saad,2024-07-24 18:41:44.965871,0.3859,0.0489354245364666,2.5e-05,5.0,2295,0.39119869470596313,0.8382352941176471,0.8858131487889273,0.8620242214532872,0.7998,510.148,63.768,2295,distilbert/distilbert-base-uncased,glue,mrpc,True,seq_bn
5,saad,2024-07-24 18:41:44.965871,0.3639,8.789426803588867,2e-05,6.0,2754,0.3614117503166199,0.8357843137254902,0.8805704099821747,0.8581773618538324,0.8024,508.48,63.56,2754,distilbert/distilbert-base-uncased,glue,mrpc,True,seq_bn
6,saad,2024-07-24 18:41:44.965871,0.3504,5.197488784790039,1.5e-05,7.0,3213,0.3843095898628235,0.8480392156862745,0.8931034482758621,0.8705713319810683,0.8065,505.916,63.239,3213,distilbert/distilbert-base-uncased,glue,mrpc,True,seq_bn
7,saad,2024-07-24 18:41:44.965871,0.3403,5.690951347351074,1e-05,8.0,3672,0.3766714334487915,0.8480392156862745,0.8927335640138409,0.8703863898500577,0.8019,508.791,63.599,3672,distilbert/distilbert-base-uncased,glue,mrpc,True,seq_bn
8,saad,2024-07-24 18:41:44.965871,0.3222,8.469552040100098,5e-06,9.0,4131,0.37296825647354126,0.8504901960784313,0.8939130434782607,0.872201619778346,0.8488,480.69,60.086,4131,distilbert/distilbert-base-uncased,glue,mrpc,True,seq_bn
9,saad,2024-07-24 18:41:44.965871,0.3134,0.7805231809616089,0.0,10.0,4590,0.37793099880218506,0.8504901960784313,0.8939130434782607,0.872201619778346,0.8784,464.458,58.057,4590,distilbert/distilbert-base-uncased,glue,mrpc,True,seq_bn
10,saad,2024-07-24 18:41:44.965871,0.3134,0.7805231809616089,0.0,10.0,4590,0.37793099880218506,0.8504901960784313,0.8939130434782607,0.872201619778346,0.7937,514.018,64.252,4590,distilbert/distilbert-base-uncased,glue,mrpc,True,seq_bn
0,saad,2024-07-24 18:41:44.965871,0.6192,2.333958625793457,4.5e-05,1.0,459,0.5985170602798462,0.6936274509803921,0.8169838945827232,0.7553056727815577,0.8626,472.973,59.122,459,distilbert/distilbert-base-uncased,glue,mrpc,True,prefix_tuning
1,saad,2024-07-24 18:41:44.965871,0.5994,4.281709671020508,4e-05,2.0,918,0.5908857583999634,0.7156862745098039,0.8242424242424242,0.7699643493761141,0.8583,475.359,59.42,918,distilbert/distilbert-base-uncased,glue,mrpc,True,prefix_tuning
2,saad,2024-07-24 18:41:44.965871,0.591,3.205664873123169,3.5e-05,3.0,1377,0.5864363312721252,0.7230392156862745,0.8258859784283514,0.7744625970573129,0.8789,464.229,58.029,1377,distilbert/distilbert-base-uncased,glue,mrpc,True,prefix_tuning
3,saad,2024-07-24 18:41:44.965871,0.5861,3.2018299102783203,3e-05,4.0,1836,0.5811468362808228,0.7156862745098039,0.8220858895705522,0.768886082040178,0.8672,470.454,58.807,1836,distilbert/distilbert-base-uncased,glue,mrpc,True,prefix_tuning
4,saad,2024-07-24 18:41:44.965871,0.5763,3.4398422241210938,2.5e-05,5.0,2295,0.5780935287475586,0.7058823529411765,0.8181818181818181,0.7620320855614973,0.8669,470.627,58.828,2295,distilbert/distilbert-base-uncased,glue,mrpc,True,prefix_tuning
5,saad,2024-07-24 18:41:44.965871,0.5732,2.5364649295806885,2e-05,6.0,2754,0.5758840441703796,0.7083333333333334,0.8188736681887367,0.7636035007610351,0.8587,475.133,59.392,2754,distilbert/distilbert-base-uncased,glue,mrpc,True,prefix_tuning
6,saad,2024-07-24 18:41:44.965871,0.5693,2.4405622482299805,1.5e-05,7.0,3213,0.5746320486068726,0.7083333333333334,0.8188736681887367,0.7636035007610351,0.8712,468.313,58.539,3213,distilbert/distilbert-base-uncased,glue,mrpc,True,prefix_tuning
7,saad,2024-07-24 18:41:44.965871,0.5684,3.8601746559143066,1e-05,8.0,3672,0.5749810338020325,0.7034313725490197,0.8163884673748103,0.759909919961915,0.8701,468.93,58.616,3672,distilbert/distilbert-base-uncased,glue,mrpc,True,prefix_tuning
8,saad,2024-07-24 18:41:44.965871,0.5655,2.8647561073303223,5e-06,9.0,4131,0.5736312866210938,0.7034313725490197,0.8163884673748103,0.759909919961915,0.8633,472.59,59.074,4131,distilbert/distilbert-base-uncased,glue,mrpc,True,prefix_tuning
9,saad,2024-07-24 18:41:44.965871,0.5681,3.3457672595977783,0.0,10.0,4590,0.5734689235687256,0.7034313725490197,0.8163884673748103,0.759909919961915,0.8551,477.14,59.642,4590,distilbert/distilbert-base-uncased,glue,mrpc,True,prefix_tuning
10,saad,2024-07-24 18:41:44.965871,0.5681,3.3457672595977783,0.0,10.0,4590,0.5734689235687256,0.7034313725490197,0.8163884673748103,0.759909919961915,0.8565,476.382,59.548,4590,distilbert/distilbert-base-uncased,glue,mrpc,True,prefix_tuning
0,saad,2024-07-24 18:41:44.965871,0.5827,8.206119537353516,4.5e-05,1.0,459,0.5937726497650146,0.7009803921568627,0.8205882352941176,0.7607843137254902,0.9548,427.304,53.413,459,distilbert/distilbert-base-uncased,glue,mrpc,True,mam_adapter
1,saad,2024-07-24 18:41:44.965871,0.4439,7.884912967681885,4e-05,2.0,918,0.37534254789352417,0.8627450980392157,0.9057239057239057,0.8842345018815607,0.9703,420.472,52.559,918,distilbert/distilbert-base-uncased,glue,mrpc,True,mam_adapter
2,saad,2024-07-24 18:41:44.965871,0.3594,3.593914031982422,3.5e-05,3.0,1377,0.41740402579307556,0.8308823529411765,0.8851913477537438,0.8580368503474601,0.9692,420.959,52.62,1377,distilbert/distilbert-base-uncased,glue,mrpc,True,mam_adapter
3,saad,2024-07-24 18:41:44.965871,0.2834,32.87666702270508,3e-05,4.0,1836,0.4643414318561554,0.8431372549019608,0.8877192982456141,0.8654282765737875,0.9523,428.433,53.554,1836,distilbert/distilbert-base-uncased,glue,mrpc,True,mam_adapter
4,saad,2024-07-24 18:41:44.965871,0.2309,0.029973609372973442,2.5e-05,5.0,2295,0.708056628704071,0.8382352941176471,0.8869863013698631,0.8626107977437552,0.95,429.495,53.687,2295,distilbert/distilbert-base-uncased,glue,mrpc,True,mam_adapter
5,saad,2024-07-24 18:41:44.965871,0.1863,1.3644261360168457,2e-05,6.0,2754,0.6665747165679932,0.8308823529411765,0.8752260397830017,0.8530541963620891,0.9564,426.588,53.324,2754,distilbert/distilbert-base-uncased,glue,mrpc,True,mam_adapter
6,saad,2024-07-24 18:41:44.965871,0.1383,0.02219286561012268,1.5e-05,7.0,3213,0.9479376077651978,0.8235294117647058,0.8783783783783784,0.8509538950715421,0.9856,413.941,51.743,3213,distilbert/distilbert-base-uncased,glue,mrpc,True,mam_adapter
7,saad,2024-07-24 18:41:44.965871,0.1,0.010978685691952705,1e-05,8.0,3672,0.934612512588501,0.8431372549019608,0.8915254237288135,0.8673313393153872,0.9574,426.155,53.269,3672,distilbert/distilbert-base-uncased,glue,mrpc,True,mam_adapter
8,saad,2024-07-24 18:41:44.965871,0.0867,207.68240356445312,5e-06,9.0,4131,0.9767885208129883,0.8382352941176471,0.8885135135135136,0.8633744038155804,0.9531,428.096,53.512,4131,distilbert/distilbert-base-uncased,glue,mrpc,True,mam_adapter
9,saad,2024-07-24 18:41:44.965871,0.0586,0.042080383747816086,0.0,10.0,4590,0.9913557171821594,0.8308823529411765,0.8812392426850257,0.8560607978131012,0.9896,412.281,51.535,4590,distilbert/distilbert-base-uncased,glue,mrpc,True,mam_adapter
10,saad,2024-07-24 18:41:44.965871,0.0586,0.042080383747816086,0.0,10.0,4590,0.9913557171821594,0.8308823529411765,0.8812392426850257,0.8560607978131012,0.9903,411.979,51.497,4590,distilbert/distilbert-base-uncased,glue,mrpc,True,mam_adapter
0,saad,2024-07-24 18:41:44.965871,0.6153,2.6330008506774902,4.5e-05,1.0,459,0.591401994228363,0.7132352941176471,0.8229954614220877,0.7681153777698674,0.8409,485.215,60.652,459,distilbert/distilbert-base-uncased,glue,mrpc,True,compacter_plusplus
