,user_name,generated_on,train_loss,grad_norm,learning_rate,epoch,step_x,val_loss,eval_accuracy,eval_f1,eval_combined_score,eval_runtime,eval_samples_per_second,eval_steps_per_second,step_y,model_string,dataset_name,task_name,used_adapter,adapter_type
0,saad,2024-07-24 21:34:17.736260,0.5688,12.354634284973145,4.5e-05,1.0,459,0.43514084815979004,0.7965686274509803,0.8654781199351703,0.8310233736930753,1.8276,223.246,27.906,459,facebook/bart-base,glue,mrpc,False,NA
1,saad,2024-07-24 21:34:17.736260,0.4043,22.850692749023438,4e-05,2.0,918,0.3897168040275574,0.8382352941176471,0.8854166666666665,0.8618259803921569,1.8419,221.508,27.688,918,facebook/bart-base,glue,mrpc,False,NA
2,saad,2024-07-24 21:34:17.736260,0.2802,1.4005059003829956,3.5e-05,3.0,1377,0.7073425650596619,0.8578431372549019,0.9003436426116839,0.8790933899332929,1.8331,222.575,27.822,1377,facebook/bart-base,glue,mrpc,False,NA
3,saad,2024-07-24 21:34:17.736260,0.1838,49.764076232910156,3e-05,4.0,1836,0.8152119517326355,0.8284313725490197,0.8805460750853243,0.854488723817172,1.8511,220.406,27.551,1836,facebook/bart-base,glue,mrpc,False,NA
4,saad,2024-07-24 21:34:17.736260,0.1149,0.025164594873785973,2.5e-05,5.0,2295,0.7057161331176758,0.8480392156862745,0.8884892086330936,0.868264212159684,1.8999,214.744,26.843,2295,facebook/bart-base,glue,mrpc,False,NA
5,saad,2024-07-24 21:34:17.736260,0.0799,0.007848046720027924,2e-05,6.0,2754,1.012081265449524,0.8480392156862745,0.8916083916083916,0.869823803647333,1.8403,221.698,27.712,2754,facebook/bart-base,glue,mrpc,False,NA
6,saad,2024-07-24 21:34:17.736260,0.0348,0.00803676899522543,1.5e-05,7.0,3213,1.2069052457809448,0.8382352941176471,0.8865979381443299,0.8624166161309885,1.8735,217.776,27.222,3213,facebook/bart-base,glue,mrpc,False,NA
7,saad,2024-07-24 21:34:17.736260,0.0411,0.002140430733561516,1e-05,8.0,3672,1.1089664697647095,0.8529411764705882,0.8976109215017065,0.8752760489861473,1.8339,222.473,27.809,3672,facebook/bart-base,glue,mrpc,False,NA
8,saad,2024-07-24 21:34:17.736260,0.0304,0.005126585252583027,5e-06,9.0,4131,1.095667839050293,0.8480392156862745,0.89419795221843,0.8711185839523523,1.8339,222.471,27.809,4131,facebook/bart-base,glue,mrpc,False,NA
9,saad,2024-07-24 21:34:17.736260,0.0185,0.00479339063167572,0.0,10.0,4590,1.0462102890014648,0.8578431372549019,0.8989547038327526,0.8783989205438272,1.8178,224.448,28.056,4590,facebook/bart-base,glue,mrpc,False,NA
10,saad,2024-07-24 21:34:17.736260,0.0185,0.00479339063167572,0.0,10.0,4590,1.0462102890014648,0.8578431372549019,0.8989547038327526,0.8783989205438272,1.7928,227.583,28.448,4590,facebook/bart-base,glue,mrpc,False,NA
