,user_name,generated_on,train_loss,grad_norm,learning_rate,epoch,step_x,val_loss,eval_accuracy,eval_f1,eval_combined_score,eval_runtime,eval_samples_per_second,eval_steps_per_second,step_y,model_string,dataset_name,task_name,used_adapter,adapter_type
0,saad,2024-07-24 21:18:05.916935,0.6113,5.2903056144714355,4.5e-05,1.0,459,0.5399495959281921,0.7401960784313726,0.832807570977918,0.7865018247046454,2.1014,194.158,24.27,459,facebook/bart-base,glue,mrpc,True,seq_bn
1,saad,2024-07-24 21:18:05.916935,0.5548,10.071049690246582,4e-05,2.0,918,0.48628655076026917,0.7843137254901961,0.8571428571428571,0.8207282913165266,2.0172,202.257,25.282,918,facebook/bart-base,glue,mrpc,True,seq_bn
2,saad,2024-07-24 21:18:05.916935,0.5127,3.7232813835144043,3.5e-05,3.0,1377,0.45380476117134094,0.8063725490196079,0.870279146141215,0.8383258475804114,2.0491,199.11,24.889,1377,facebook/bart-base,glue,mrpc,True,seq_bn
3,saad,2024-07-24 21:18:05.916935,0.464,4.545895099639893,3e-05,4.0,1836,0.42622652649879456,0.8259803921568627,0.88379705400982,0.8548887230833413,2.0569,198.359,24.795,1836,facebook/bart-base,glue,mrpc,True,seq_bn
4,saad,2024-07-24 21:18:05.916935,0.4256,0.48178207874298096,2.5e-05,5.0,2295,0.3637537360191345,0.8235294117647058,0.8723404255319148,0.8479349186483103,2.0134,202.645,25.331,2295,facebook/bart-base,glue,mrpc,True,seq_bn
5,saad,2024-07-24 21:18:05.916935,0.4024,0.792336106300354,2e-05,6.0,2754,0.38604646921157837,0.8308823529411765,0.882051282051282,0.8564668174962293,2.0663,197.452,24.682,2754,facebook/bart-base,glue,mrpc,True,seq_bn
6,saad,2024-07-24 21:18:05.916935,0.3832,6.476592540740967,1.5e-05,7.0,3213,0.38207051157951355,0.8357843137254902,0.8846815834767642,0.8602329486011272,2.0099,202.998,25.375,3213,facebook/bart-base,glue,mrpc,True,seq_bn
7,saad,2024-07-24 21:18:05.916935,0.3862,6.459129810333252,1e-05,8.0,3672,0.37631237506866455,0.8308823529411765,0.8808290155440415,0.855855684242609,2.0266,201.327,25.166,3672,facebook/bart-base,glue,mrpc,True,seq_bn
8,saad,2024-07-24 21:18:05.916935,0.3503,13.094537734985352,5e-06,9.0,4131,0.36245855689048767,0.8357843137254902,0.882249560632689,0.8590169371790897,2.0259,201.397,25.175,4131,facebook/bart-base,glue,mrpc,True,seq_bn
9,saad,2024-07-24 21:18:05.916935,0.3494,0.7971634268760681,0.0,10.0,4590,0.3609456717967987,0.8357843137254902,0.882249560632689,0.8590169371790897,2.0661,197.47,24.684,4590,facebook/bart-base,glue,mrpc,True,seq_bn
10,saad,2024-07-24 21:18:05.916935,0.3494,0.7971634268760681,0.0,10.0,4590,0.3609456717967987,0.8357843137254902,0.882249560632689,0.8590169371790897,2.03,200.982,25.123,4590,facebook/bart-base,glue,mrpc,True,seq_bn
0,saad,2024-07-24 21:18:05.916935,0.6117,3.91123366355896,4.5e-05,1.0,459,0.5704140663146973,0.7058823529411765,0.803921568627451,0.7549019607843137,2.043,199.711,24.964,459,facebook/bart-base,glue,mrpc,True,prefix_tuning
1,saad,2024-07-24 21:18:05.916935,0.5885,7.837091445922852,4e-05,2.0,918,0.5533689856529236,0.7230392156862745,0.8214849921011059,0.7722621038936902,1.9914,204.877,25.61,918,facebook/bart-base,glue,mrpc,True,prefix_tuning
2,saad,2024-07-24 21:18:05.916935,0.5706,4.441657066345215,3.5e-05,3.0,1377,0.5412980914115906,0.7352941176470589,0.8211920529801323,0.7782430853135955,1.9807,205.992,25.749,1377,facebook/bart-base,glue,mrpc,True,prefix_tuning
3,saad,2024-07-24 21:18:05.916935,0.5713,4.80431604385376,3e-05,4.0,1836,0.5323233604431152,0.7328431372549019,0.8304821150855365,0.7816626261702192,1.9742,206.663,25.833,1836,facebook/bart-base,glue,mrpc,True,prefix_tuning
4,saad,2024-07-24 21:18:05.916935,0.5647,5.439325332641602,2.5e-05,5.0,2295,0.5334472060203552,0.7279411764705882,0.8235294117647058,0.775735294117647,1.9974,204.267,25.533,2295,facebook/bart-base,glue,mrpc,True,prefix_tuning
5,saad,2024-07-24 21:18:05.916935,0.5617,5.4712347984313965,2e-05,6.0,2754,0.5308031439781189,0.7303921568627451,0.8237179487179487,0.7770550527903468,1.9818,205.873,25.734,2754,facebook/bart-base,glue,mrpc,True,prefix_tuning
6,saad,2024-07-24 21:18:05.916935,0.5587,4.85719108581543,1.5e-05,7.0,3213,0.5336477756500244,0.7377450980392157,0.8304278922345483,0.784086495136882,1.975,206.579,25.822,3213,facebook/bart-base,glue,mrpc,True,prefix_tuning
7,saad,2024-07-24 21:18:05.916935,0.551,4.197896957397461,1e-05,8.0,3672,0.5306800603866577,0.7352941176470589,0.8285714285714285,0.7819327731092437,2.0198,201.996,25.249,3672,facebook/bart-base,glue,mrpc,True,prefix_tuning
8,saad,2024-07-24 21:18:05.916935,0.5514,5.227794170379639,5e-06,9.0,4131,0.5309215784072876,0.7279411764705882,0.8246445497630333,0.7762928631168107,1.98,206.061,25.758,4131,facebook/bart-base,glue,mrpc,True,prefix_tuning
9,saad,2024-07-24 21:18:05.916935,0.5409,3.867453098297119,0.0,10.0,4590,0.5263713598251343,0.7377450980392157,0.8288000000000001,0.783272549019608,1.9822,205.828,25.729,4590,facebook/bart-base,glue,mrpc,True,prefix_tuning
10,saad,2024-07-24 21:18:05.916935,0.5409,3.867453098297119,0.0,10.0,4590,0.5263713598251343,0.7377450980392157,0.8288000000000001,0.783272549019608,2.0026,203.736,25.467,4590,facebook/bart-base,glue,mrpc,True,prefix_tuning
0,saad,2024-07-24 21:18:05.916935,0.5777,8.444607734680176,4.5e-05,1.0,459,0.7368803024291992,0.6838235294117647,0.8122270742358079,0.7480253018237863,2.1803,187.131,23.391,459,facebook/bart-base,glue,mrpc,True,mam_adapter
1,saad,2024-07-24 21:18:05.916935,0.4438,4.204753875732422,4e-05,2.0,918,0.37005525827407837,0.8259803921568627,0.8782161234991424,0.8520982578280025,2.1609,188.813,23.602,918,facebook/bart-base,glue,mrpc,True,mam_adapter
2,saad,2024-07-24 21:18:05.916935,0.3665,12.536771774291992,3.5e-05,3.0,1377,0.4245312511920929,0.8333333333333334,0.8827586206896552,0.8580459770114943,2.1723,187.823,23.478,1377,facebook/bart-base,glue,mrpc,True,mam_adapter
3,saad,2024-07-24 21:18:05.916935,0.3323,26.18658447265625,3e-05,4.0,1836,0.4756935238838196,0.8284313725490197,0.8776223776223777,0.8530268750856986,2.147,190.036,23.755,1836,facebook/bart-base,glue,mrpc,True,mam_adapter
4,saad,2024-07-24 21:18:05.916935,0.2783,0.10583160072565079,2.5e-05,5.0,2295,0.6264857649803162,0.8235294117647058,0.8736842105263158,0.8486068111455108,2.1585,189.02,23.628,2295,facebook/bart-base,glue,mrpc,True,mam_adapter
5,saad,2024-07-24 21:18:05.916935,0.243,57.85858917236328,2e-05,6.0,2754,0.6495640873908997,0.8259803921568627,0.8672897196261682,0.8466350558915154,2.174,187.675,23.459,2754,facebook/bart-base,glue,mrpc,True,mam_adapter
6,saad,2024-07-24 21:18:05.916935,0.2093,84.17201232910156,1.5e-05,7.0,3213,0.8022490739822388,0.8259803921568627,0.8706739526411658,0.8483271723990142,2.1849,186.74,23.342,3213,facebook/bart-base,glue,mrpc,True,mam_adapter
7,saad,2024-07-24 21:18:05.916935,0.1729,0.43593159317970276,1e-05,8.0,3672,0.951468825340271,0.8186274509803921,0.8724137931034482,0.8455206220419202,2.1447,190.241,23.78,3672,facebook/bart-base,glue,mrpc,True,mam_adapter
