,user,generated_on,model_name,dataset_name,task_name,used_adapter,adapter_type,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch,epoch,train_samples,training_time,eval_loss,eval_accuracy,eval_f1,eval_combined_score,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,epoch
0,saad,2024-07-24 18:41:31.882412,distilbert/distilbert-base-uncased,glue,mrpc,True,seq_bn,173.5258,211.381,26.451,1257465314058240.0,0.4078293976960359,10.0,10.0,3668,173.8994174003601,0.37793099880218506,0.8504901960784313,0.8939130434782607,0.872201619778346,0.8742,466.695,58.337,10.0,10.0
1,saad,2024-07-24 18:41:31.882412,distilbert/distilbert-base-uncased,glue,mrpc,True,prefix_tuning,167.9326,218.421,27.332,1240054753566720.0,0.5816552056206598,10.0,10.0,3668,168.22127175331116,0.5734689235687256,0.7034313725490197,0.8163884673748103,0.759909919961915,0.9042,451.224,56.403,10.0,10.0
2,saad,2024-07-24 18:41:31.882412,distilbert/distilbert-base-uncased,glue,mrpc,True,mam_adapter,207.7075,176.594,22.098,1557437354188800.0,0.24701395554220495,10.0,10.0,3668,207.99557948112488,0.9913557171821594,0.8308823529411765,0.8812392426850257,0.8560607978131012,1.013,402.782,50.348,10.0,10.0
3,saad,2024-07-24 18:41:31.882412,distilbert/distilbert-base-uncased,glue,mrpc,True,compacter_plusplus,169.3747,216.561,27.1,1232669643448320.0,0.5686624497889433,10.0,10.0,3668,169.67294692993164,0.5640840530395508,0.696078431372549,0.8092307692307692,0.7526546003016591,0.9074,449.658,56.207,10.0,10.0
4,saad,2024-07-24 18:41:31.882412,distilbert/distilbert-base-uncased,glue,mrpc,True,unipelt,243.8935,150.394,18.82,1393814458982400.0,0.3983059187080865,10.0,10.0,3668,244.19525957107544,0.5235671997070312,0.8308823529411765,0.8812392426850257,0.8560607978131012,1.1463,355.943,44.493,10.0,10.0
5,saad,2024-07-24 18:41:31.882412,distilbert/distilbert-base-uncased,glue,mrpc,True,lora,160.8715,228.008,28.532,1236420116520960.0,0.499073525555513,10.0,10.0,3668,161.1726996898651,0.45424020290374756,0.7941176470588235,0.8609271523178808,0.8275223996883521,0.8559,476.682,59.585,10.0,10.0
6,saad,2024-07-24 18:41:31.882412,distilbert/distilbert-base-uncased,glue,mrpc,True,seq_bn_16_2_relu,181.2905,202.327,25.318,1344753394360320.0,0.3362805318728511,10.0,10.0,3668,181.59737753868103,0.6082180738449097,0.8333333333333334,0.8811188811188811,0.8572261072261073,0.9205,443.231,55.404,10.0,10.0
7,saad,2024-07-24 18:41:31.882412,distilbert/distilbert-base-uncased,glue,mrpc,True,seq_bn_16_2_tanh,180.6193,203.079,25.413,1344753394360320.0,0.26400361902573527,10.0,10.0,3668,180.9216570854187,0.7956200242042542,0.8382352941176471,0.8869863013698631,0.8626107977437552,0.9249,441.105,55.138,10.0,10.0
8,saad,2024-07-24 18:41:31.882412,distilbert/distilbert-base-uncased,glue,mrpc,True,ia3,165.6462,221.436,27.71,1233045096407040.0,0.5628919115253523,10.0,10.0,3668,165.9535322189331,0.5526909828186035,0.7058823529411765,0.8136645962732919,0.7597734746072342,0.8429,484.065,60.508,10.0,10.0
9,saad,2024-07-24 18:41:31.882412,distilbert/distilbert-base-uncased,glue,mrpc,True,prompt_tuning,175.809,208.636,26.108,1232266245611520.0,0.5779436763854847,10.0,10.0,3668,176.1208839416504,0.5668693780899048,0.7083333333333334,0.818320610687023,0.7633269720101782,0.9074,449.644,56.205,10.0,10.0
