,user,generated_on,model_name,dataset_name,task_name,used_adapter,adapter_type,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch,epoch,train_samples,training_time,eval_loss,eval_accuracy,eval_f1,eval_combined_score,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,epoch
0,saad,2024-07-24 19:52:57.295220,google/electra-base-discriminator,glue,mrpc,True,seq_bn,339.0288,108.191,13.539,2463126514544640.0,0.3321573909850941,10.0,10.0,3668,339.37115120887756,0.36190658807754517,0.8970588235294118,0.926056338028169,0.9115575807787903,1.658,246.073,30.759,10.0,10.0
1,saad,2024-07-24 19:52:57.295220,google/electra-base-discriminator,glue,mrpc,True,prefix_tuning,323.1475,113.509,14.204,2428305393561600.0,0.5489375195472069,10.0,10.0,3668,323.4634871482849,0.5114425420761108,0.7401960784313726,0.8333333333333334,0.786764705882353,1.7163,237.718,29.715,10.0,10.0
2,saad,2024-07-24 19:52:57.295220,google/electra-base-discriminator,glue,mrpc,True,mam_adapter,403.3224,90.945,11.38,3045740263157760.0,0.15263930489035213,10.0,10.0,3668,403.64041090011597,0.8453978896141052,0.8823529411764706,0.915492957746479,0.8989229494614748,1.873,217.835,27.229,10.0,10.0
3,saad,2024-07-24 19:52:57.295220,google/electra-base-discriminator,glue,mrpc,True,compacter_plusplus,325.5487,112.671,14.099,2413533370429440.0,0.5223154969724435,10.0,10.0,3668,325.8783655166626,0.4639089107513428,0.7696078431372549,0.8478964401294499,0.8087521416333524,1.6116,253.172,31.646,10.0,10.0
4,saad,2024-07-24 19:52:57.295220,google/electra-base-discriminator,glue,mrpc,True,unipelt,466.5157,78.625,9.839,2724733392138240.0,0.2982978056199151,10.0,10.0,3668,466.8478798866272,0.4239661693572998,0.8872549019607843,0.9187279151943463,0.9029914085775652,2.077,196.436,24.555,10.0,10.0
5,saad,2024-07-24 19:52:57.295220,google/electra-base-discriminator,glue,mrpc,True,lora,308.7417,118.805,14.867,2421036119470080.0,0.4241171011997464,10.0,10.0,3668,309.0712068080902,0.3237956464290619,0.8553921568627451,0.897391304347826,0.8763917306052855,1.6248,251.112,31.389,10.0,10.0
6,saad,2024-07-24 19:52:57.295220,google/electra-base-discriminator,glue,mrpc,True,seq_bn_16_2_relu,353.9055,103.643,12.97,2637702675148800.0,0.2258426076186768,10.0,10.0,3668,354.2379252910614,0.585862934589386,0.8946078431372549,0.9233511586452763,0.9089795008912656,1.7376,234.806,29.351,10.0,10.0
7,saad,2024-07-24 19:52:57.295220,google/electra-base-discriminator,glue,mrpc,True,seq_bn_16_2_tanh,353.5992,103.733,12.981,2637702675148800.0,0.17088546773706906,10.0,10.0,3668,353.93283677101135,0.8177382349967957,0.8823529411764706,0.915492957746479,0.8989229494614748,1.7563,232.305,29.038,10.0,10.0
8,saad,2024-07-24 19:52:57.295220,google/electra-base-discriminator,glue,mrpc,True,ia3,320.5416,114.431,14.32,2414286079242240.0,0.5207730395082295,10.0,10.0,3668,320.8685839176178,0.4617995321750641,0.7794117647058824,0.8534201954397393,0.8164159800728108,1.6224,251.473,31.434,10.0,10.0
9,saad,2024-07-24 19:52:57.295220,google/electra-base-discriminator,glue,mrpc,True,prompt_tuning,336.3236,109.062,13.648,2412728377651200.0,0.6032588385289012,10.0,10.0,3668,336.667927980423,0.596064567565918,0.6862745098039216,0.8083832335329342,0.7473288716684279,1.7138,238.067,29.758,10.0,10.0
