,user_name,generated_on,train_loss,grad_norm,learning_rate,epoch,step_x,val_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,step_y,model_string,dataset_name,task_name,used_adapter,adapter_type
0,saad,2024-07-23 16:16:18.763702,0.7012,5.735158443450928,4.5e-05,1.0,80,0.6943933963775635,0.5633802816901409,0.1557,456.017,57.805,80,distilbert/distilbert-base-uncased,glue,wnli,True,seq_bn
1,saad,2024-07-23 16:16:18.763702,0.7024,3.3695690631866455,4e-05,2.0,160,0.7092980742454529,0.30985915492957744,0.1549,458.352,58.101,160,distilbert/distilbert-base-uncased,glue,wnli,True,seq_bn
2,saad,2024-07-23 16:16:18.763702,0.6961,3.8807168006896973,3.5e-05,3.0,240,0.7112200260162354,0.28169014084507044,0.1604,442.753,56.124,240,distilbert/distilbert-base-uncased,glue,wnli,True,seq_bn
3,saad,2024-07-23 16:16:18.763702,0.7017,3.805025100708008,3e-05,4.0,320,0.7112267017364502,0.28169014084507044,0.1593,445.597,56.484,320,distilbert/distilbert-base-uncased,glue,wnli,True,seq_bn
4,saad,2024-07-23 16:16:18.763702,0.6964,3.1169188022613525,2.5e-05,5.0,400,0.7220671772956848,0.352112676056338,0.1518,467.774,59.295,400,distilbert/distilbert-base-uncased,glue,wnli,True,seq_bn
5,saad,2024-07-23 16:16:18.763702,0.6934,3.199702024459839,2e-05,6.0,480,0.7205620408058167,0.23943661971830985,0.1562,454.639,57.63,480,distilbert/distilbert-base-uncased,glue,wnli,True,seq_bn
6,saad,2024-07-23 16:16:18.763702,0.6941,3.3246548175811768,1.5e-05,7.0,560,0.7177653312683105,0.38028169014084506,0.1524,465.996,59.07,560,distilbert/distilbert-base-uncased,glue,wnli,True,seq_bn
7,saad,2024-07-23 16:16:18.763702,0.6888,3.113433837890625,1e-05,8.0,640,0.7258493304252625,0.2535211267605634,0.1543,460.019,58.312,640,distilbert/distilbert-base-uncased,glue,wnli,True,seq_bn
8,saad,2024-07-23 16:16:18.763702,0.6906,3.7634449005126953,5e-06,9.0,720,0.7274281978607178,0.2535211267605634,0.1559,455.316,57.716,720,distilbert/distilbert-base-uncased,glue,wnli,True,seq_bn
9,saad,2024-07-23 16:16:18.763702,0.691,3.5446410179138184,0.0,10.0,800,0.7281944155693054,0.2535211267605634,0.1527,464.831,58.922,800,distilbert/distilbert-base-uncased,glue,wnli,True,seq_bn
10,saad,2024-07-23 16:16:18.763702,0.691,3.5446410179138184,0.0,10.0,800,0.7281944155693054,0.2535211267605634,0.1605,442.401,56.079,800,distilbert/distilbert-base-uncased,glue,wnli,True,seq_bn
0,saad,2024-07-23 16:16:18.763702,0.6989,5.005104064941406,4.5e-05,1.0,80,0.6883344650268555,0.5633802816901409,0.1633,434.713,55.104,80,distilbert/distilbert-base-uncased,glue,wnli,True,prefix_tuning
1,saad,2024-07-23 16:16:18.763702,0.7026,4.3648457527160645,4e-05,2.0,160,0.7005597949028015,0.4647887323943662,0.1662,427.296,54.164,160,distilbert/distilbert-base-uncased,glue,wnli,True,prefix_tuning
2,saad,2024-07-23 16:16:18.763702,0.6991,3.6117987632751465,3.5e-05,3.0,240,0.7040969133377075,0.39436619718309857,0.1661,427.361,54.173,240,distilbert/distilbert-base-uncased,glue,wnli,True,prefix_tuning
3,saad,2024-07-23 16:16:18.763702,0.6968,4.283102989196777,3e-05,4.0,320,0.7012546062469482,0.30985915492957744,0.1673,424.29,53.783,320,distilbert/distilbert-base-uncased,glue,wnli,True,prefix_tuning
4,saad,2024-07-23 16:16:18.763702,0.6997,3.2588093280792236,2.5e-05,5.0,400,0.7113654017448425,0.43661971830985913,0.169,420.154,53.259,400,distilbert/distilbert-base-uncased,glue,wnli,True,prefix_tuning
5,saad,2024-07-23 16:16:18.763702,0.6922,3.0974535942077637,2e-05,6.0,480,0.7034440636634827,0.3380281690140845,0.1649,430.683,54.594,480,distilbert/distilbert-base-uncased,glue,wnli,True,prefix_tuning
6,saad,2024-07-23 16:16:18.763702,0.6948,3.1143453121185303,1.5e-05,7.0,560,0.7002822756767273,0.5492957746478874,0.1643,432.236,54.79,560,distilbert/distilbert-base-uncased,glue,wnli,True,prefix_tuning
7,saad,2024-07-23 16:16:18.763702,0.6955,3.5779902935028076,1e-05,8.0,640,0.7064487338066101,0.323943661971831,0.1631,435.322,55.182,640,distilbert/distilbert-base-uncased,glue,wnli,True,prefix_tuning
8,saad,2024-07-23 16:16:18.763702,0.6891,3.806550979614258,5e-06,9.0,720,0.7064869999885559,0.29577464788732394,0.1648,430.857,54.616,720,distilbert/distilbert-base-uncased,glue,wnli,True,prefix_tuning
9,saad,2024-07-23 16:16:18.763702,0.6912,2.600358486175537,0.0,10.0,800,0.7076832056045532,0.2676056338028169,0.1643,432.129,54.777,800,distilbert/distilbert-base-uncased,glue,wnli,True,prefix_tuning
10,saad,2024-07-23 16:16:18.763702,0.6912,2.600358486175537,0.0,10.0,800,0.7076832056045532,0.2676056338028169,0.1679,422.997,53.619,800,distilbert/distilbert-base-uncased,glue,wnli,True,prefix_tuning
0,saad,2024-07-23 16:16:18.763702,0.7012,5.342414855957031,4.5e-05,1.0,80,0.687571108341217,0.5633802816901409,0.1789,396.917,50.313,80,distilbert/distilbert-base-uncased,glue,wnli,True,mam_adapter
1,saad,2024-07-23 16:16:18.763702,0.7007,4.799149036407471,4e-05,2.0,160,0.6984468698501587,0.43661971830985913,0.1767,401.815,50.934,160,distilbert/distilbert-base-uncased,glue,wnli,True,mam_adapter
2,saad,2024-07-23 16:16:18.763702,0.7009,4.104551792144775,3.5e-05,3.0,240,0.6963080167770386,0.43661971830985913,0.1745,406.807,51.567,240,distilbert/distilbert-base-uncased,glue,wnli,True,mam_adapter
3,saad,2024-07-23 16:16:18.763702,0.6978,4.208061218261719,3e-05,4.0,320,0.6957173943519592,0.4507042253521127,0.1841,385.645,48.885,320,distilbert/distilbert-base-uncased,glue,wnli,True,mam_adapter
