,user_name,generated_on,train_loss,grad_norm,learning_rate,epoch,step_x,val_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,step_y,model_string,dataset_name,task_name,used_adapter,adapter_type
0,saad,2024-07-23 15:33:53.690648,0.7038,10.7048978805542,4.5e-05,1.0,80,0.7009603381156921,0.5633802816901409,0.3392,209.315,26.533,80,facebook/bart-base,glue,wnli,True,seq_bn
1,saad,2024-07-23 15:33:53.690648,0.7088,6.3745903968811035,4e-05,2.0,160,0.7214763760566711,0.4084507042253521,0.3554,199.791,25.326,160,facebook/bart-base,glue,wnli,True,seq_bn
2,saad,2024-07-23 15:33:53.690648,0.7159,6.63724946975708,3.5e-05,3.0,240,0.7059745788574219,0.4507042253521127,0.338,210.038,26.625,240,facebook/bart-base,glue,wnli,True,seq_bn
3,saad,2024-07-23 15:33:53.690648,0.7011,6.001243591308594,3e-05,4.0,320,0.7147045731544495,0.39436619718309857,0.3404,208.606,26.443,320,facebook/bart-base,glue,wnli,True,seq_bn
4,saad,2024-07-23 15:33:53.690648,0.7086,6.5042595863342285,2.5e-05,5.0,400,0.7116659879684448,0.39436619718309857,0.337,210.709,26.71,400,facebook/bart-base,glue,wnli,True,seq_bn
5,saad,2024-07-23 15:33:53.690648,0.7028,6.7075605392456055,2e-05,6.0,480,0.7455906867980957,0.4225352112676056,0.3388,209.587,26.567,480,facebook/bart-base,glue,wnli,True,seq_bn
6,saad,2024-07-23 15:33:53.690648,0.6967,4.936822414398193,1.5e-05,7.0,560,0.7078898549079895,0.5211267605633803,0.3346,212.212,26.9,560,facebook/bart-base,glue,wnli,True,seq_bn
7,saad,2024-07-23 15:33:53.690648,0.7028,8.4392671585083,1e-05,8.0,640,0.7305557131767273,0.4225352112676056,0.335,211.947,26.867,640,facebook/bart-base,glue,wnli,True,seq_bn
8,saad,2024-07-23 15:33:53.690648,0.6985,6.346789836883545,5e-06,9.0,720,0.7159008383750916,0.323943661971831,0.3377,210.227,26.649,720,facebook/bart-base,glue,wnli,True,seq_bn
9,saad,2024-07-23 15:33:53.690648,0.6943,5.409201145172119,0.0,10.0,800,0.7245835661888123,0.39436619718309857,0.3358,211.439,26.802,800,facebook/bart-base,glue,wnli,True,seq_bn
10,saad,2024-07-23 15:33:53.690648,0.6943,5.409201145172119,0.0,10.0,800,0.7245835661888123,0.39436619718309857,0.34,208.802,26.468,800,facebook/bart-base,glue,wnli,True,seq_bn
0,saad,2024-07-23 15:33:53.690648,0.7123,8.975396156311035,4.5e-05,1.0,80,0.7364426851272583,0.5633802816901409,0.3637,195.211,24.745,80,facebook/bart-base,glue,wnli,True,prefix_tuning
1,saad,2024-07-23 15:33:53.690648,0.7037,5.341940402984619,4e-05,2.0,160,0.7319356203079224,0.4507042253521127,0.3589,197.851,25.08,160,facebook/bart-base,glue,wnli,True,prefix_tuning
2,saad,2024-07-23 15:33:53.690648,0.7128,7.504069805145264,3.5e-05,3.0,240,0.7279611229896545,0.4507042253521127,0.3528,201.244,25.51,240,facebook/bart-base,glue,wnli,True,prefix_tuning
3,saad,2024-07-23 15:33:53.690648,0.7065,5.8533034324646,3e-05,4.0,320,0.7431788444519043,0.4084507042253521,0.3618,196.241,24.876,320,facebook/bart-base,glue,wnli,True,prefix_tuning
4,saad,2024-07-23 15:33:53.690648,0.7126,6.555069446563721,2.5e-05,5.0,400,0.7437153458595276,0.36619718309859156,0.3591,197.7,25.061,400,facebook/bart-base,glue,wnli,True,prefix_tuning
5,saad,2024-07-23 15:33:53.690648,0.6956,5.9460673332214355,2e-05,6.0,480,0.7640758752822876,0.38028169014084506,0.3628,195.716,24.809,480,facebook/bart-base,glue,wnli,True,prefix_tuning
6,saad,2024-07-23 15:33:53.690648,0.7053,6.471417427062988,1.5e-05,7.0,560,0.7475374937057495,0.4647887323943662,0.3544,200.343,25.396,560,facebook/bart-base,glue,wnli,True,prefix_tuning
7,saad,2024-07-23 15:33:53.690648,0.7013,8.235050201416016,1e-05,8.0,640,0.7585675120353699,0.3380281690140845,0.3634,195.365,24.765,640,facebook/bart-base,glue,wnli,True,prefix_tuning
8,saad,2024-07-23 15:33:53.690648,0.6907,7.0084452629089355,5e-06,9.0,720,0.752503514289856,0.352112676056338,0.3538,200.684,25.439,720,facebook/bart-base,glue,wnli,True,prefix_tuning
9,saad,2024-07-23 15:33:53.690648,0.6966,6.7283525466918945,0.0,10.0,800,0.7562258839607239,0.28169014084507044,0.3601,197.183,24.995,800,facebook/bart-base,glue,wnli,True,prefix_tuning
10,saad,2024-07-23 15:33:53.690648,0.6966,6.7283525466918945,0.0,10.0,800,0.7562258839607239,0.28169014084507044,0.3582,198.211,25.125,800,facebook/bart-base,glue,wnli,True,prefix_tuning
0,saad,2024-07-23 15:33:53.690648,0.7379,15.283130645751953,4.5e-05,1.0,80,0.7045380473136902,0.4647887323943662,0.4416,160.795,20.383,80,facebook/bart-base,glue,wnli,True,mam_adapter
1,saad,2024-07-23 15:33:53.690648,0.7225,5.558327674865723,4e-05,2.0,160,0.6857582330703735,0.5633802816901409,0.3895,182.275,23.105,160,facebook/bart-base,glue,wnli,True,mam_adapter
2,saad,2024-07-23 15:33:53.690648,0.7218,4.651948928833008,3.5e-05,3.0,240,0.6995607614517212,0.49295774647887325,0.391,181.6,23.02,240,facebook/bart-base,glue,wnli,True,mam_adapter
3,saad,2024-07-23 15:33:53.690648,0.7097,4.03827428817749,3e-05,4.0,320,0.7260883450508118,0.43661971830985913,0.3901,181.99,23.069,320,facebook/bart-base,glue,wnli,True,mam_adapter
