,user_name,generated_on,train_loss,grad_norm,learning_rate,epoch,step_x,val_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,step_y,model_string,dataset_name,task_name,used_adapter,adapter_type
0,saad,2024-07-23 16:03:14.921248,0.6984,4.420453071594238,4.5e-05,1.0,80,0.7021276950836182,0.5633802816901409,0.2873,247.114,31.324,80,google/electra-base-discriminator,glue,wnli,True,seq_bn
1,saad,2024-07-23 16:03:14.921248,0.701,2.6033143997192383,4e-05,2.0,160,0.7222952246665955,0.4084507042253521,0.2877,246.779,31.282,160,google/electra-base-discriminator,glue,wnli,True,seq_bn
2,saad,2024-07-23 16:03:14.921248,0.6994,4.312535285949707,3.5e-05,3.0,240,0.7049694061279297,0.4647887323943662,0.2906,244.339,30.973,240,google/electra-base-discriminator,glue,wnli,True,seq_bn
3,saad,2024-07-23 16:03:14.921248,0.6939,3.401937246322632,3e-05,4.0,320,0.7205693125724792,0.4084507042253521,0.2907,244.271,30.964,320,google/electra-base-discriminator,glue,wnli,True,seq_bn
4,saad,2024-07-23 16:03:14.921248,0.6941,3.015322208404541,2.5e-05,5.0,400,0.7320643067359924,0.39436619718309857,0.2872,247.252,31.342,400,google/electra-base-discriminator,glue,wnli,True,seq_bn
5,saad,2024-07-23 16:03:14.921248,0.6859,2.9797921180725098,2e-05,6.0,480,0.7317330241203308,0.36619718309859156,0.288,246.487,31.245,480,google/electra-base-discriminator,glue,wnli,True,seq_bn
6,saad,2024-07-23 16:03:14.921248,0.6898,3.1283226013183594,1.5e-05,7.0,560,0.7111234664916992,0.5070422535211268,0.2863,248.004,31.437,560,google/electra-base-discriminator,glue,wnli,True,seq_bn
7,saad,2024-07-23 16:03:14.921248,0.6856,3.298452377319336,1e-05,8.0,640,0.730315625667572,0.352112676056338,0.2878,246.693,31.271,640,google/electra-base-discriminator,glue,wnli,True,seq_bn
8,saad,2024-07-23 16:03:14.921248,0.6799,3.129969596862793,5e-06,9.0,720,0.7229686379432678,0.4084507042253521,0.2844,249.631,31.643,720,google/electra-base-discriminator,glue,wnli,True,seq_bn
9,saad,2024-07-23 16:03:14.921248,0.6772,3.193359136581421,0.0,10.0,800,0.7265690565109253,0.38028169014084506,0.2891,245.607,31.133,800,google/electra-base-discriminator,glue,wnli,True,seq_bn
10,saad,2024-07-23 16:03:14.921248,0.6772,3.193359136581421,0.0,10.0,800,0.7265690565109253,0.38028169014084506,0.2887,245.892,31.169,800,google/electra-base-discriminator,glue,wnli,True,seq_bn
0,saad,2024-07-23 16:03:14.921248,0.696,4.81494665145874,4.5e-05,1.0,80,0.689204752445221,0.5633802816901409,0.3058,232.169,29.43,80,google/electra-base-discriminator,glue,wnli,True,prefix_tuning
1,saad,2024-07-23 16:03:14.921248,0.7011,2.4855620861053467,4e-05,2.0,160,0.7057530283927917,0.43661971830985913,0.3108,228.427,28.956,160,google/electra-base-discriminator,glue,wnli,True,prefix_tuning
2,saad,2024-07-23 16:03:14.921248,0.6955,2.9842965602874756,3.5e-05,3.0,240,0.6911306381225586,0.5633802816901409,0.3066,231.563,29.353,240,google/electra-base-discriminator,glue,wnli,True,prefix_tuning
3,saad,2024-07-23 16:03:14.921248,0.7025,2.884014844894409,3e-05,4.0,320,0.7014277577400208,0.5211267605633803,0.3111,228.226,28.93,320,google/electra-base-discriminator,glue,wnli,True,prefix_tuning
4,saad,2024-07-23 16:03:14.921248,0.6957,3.223512887954712,2.5e-05,5.0,400,0.7121769785881042,0.43661971830985913,0.3026,234.667,29.746,400,google/electra-base-discriminator,glue,wnli,True,prefix_tuning
5,saad,2024-07-23 16:03:14.921248,0.6904,3.321730136871338,2e-05,6.0,480,0.7054740786552429,0.4788732394366197,0.314,226.111,28.662,480,google/electra-base-discriminator,glue,wnli,True,prefix_tuning
6,saad,2024-07-23 16:03:14.921248,0.6917,3.1411476135253906,1.5e-05,7.0,560,0.6862553954124451,0.49295774647887325,0.3109,228.337,28.944,560,google/electra-base-discriminator,glue,wnli,True,prefix_tuning
7,saad,2024-07-23 16:03:14.921248,0.6864,3.1229918003082275,1e-05,8.0,640,0.7018757462501526,0.5492957746478874,0.3078,230.663,29.239,640,google/electra-base-discriminator,glue,wnli,True,prefix_tuning
8,saad,2024-07-23 16:03:14.921248,0.6909,3.2366888523101807,5e-06,9.0,720,0.69636070728302,0.5492957746478874,0.3086,230.107,29.168,720,google/electra-base-discriminator,glue,wnli,True,prefix_tuning
