,user,generated_on,model_name,dataset_name,task_name,used_adapter,adapter_type,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch,epoch,train_samples,training_time,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,epoch
0,saad,2024-07-23 15:33:47.460204,facebook/bart-base,glue,wnli,True,seq_bn,68.6129,92.548,11.66,495590881612800.0,0.7033330726623536,10.0,10.0,635,69.00380539894104,0.7245835661888123,0.39436619718309857,0.3392,209.286,26.529,10.0,10.0
1,saad,2024-07-23 15:33:47.460204,facebook/bart-base,glue,wnli,True,prefix_tuning,66.7482,95.134,11.985,490911026304000.0,0.7037299156188965,10.0,10.0,635,67.10938858985901,0.7562258839607239,0.28169014084507044,0.3557,199.616,25.303,10.0,10.0
2,saad,2024-07-23 15:33:47.460204,facebook/bart-base,glue,wnli,True,mam_adapter,84.6003,75.059,9.456,638453343360000.0,0.7082708549499511,10.0,10.0,635,84.97169423103333,0.7080913186073303,0.4647887323943662,0.3918,181.222,22.972,10.0,10.0
3,saad,2024-07-23 15:33:47.460204,facebook/bart-base,glue,wnli,True,compacter_plusplus,67.0867,94.654,11.925,487005372748800.0,0.7062614679336547,10.0,10.0,635,67.45408630371094,0.7139174938201904,0.4647887323943662,0.3449,205.835,26.092,10.0,10.0
4,saad,2024-07-23 15:33:47.460204,facebook/bart-base,glue,wnli,True,unipelt,113.1885,56.101,7.068,568563425126400.0,0.7034546661376954,10.0,10.0,635,113.57220530509949,0.7634788155555725,0.29577464788732394,0.5028,141.216,17.901,10.0,10.0
5,saad,2024-07-23 15:33:47.460204,facebook/bart-base,glue,wnli,True,lora,67.3551,94.276,11.877,489023353574400.0,0.7061905002593994,10.0,10.0,635,67.73340368270874,0.7143152356147766,0.4647887323943662,0.3442,206.288,26.149,10.0,10.0
6,saad,2024-07-23 15:33:47.460204,facebook/bart-base,glue,wnli,True,seq_bn_16_2_relu,71.7607,88.489,11.148,525813308544000.0,0.704591851234436,10.0,10.0,635,72.13504409790039,0.7432146072387695,0.3380281690140845,0.3525,201.402,25.53,10.0,10.0
7,saad,2024-07-23 15:33:47.460204,facebook/bart-base,glue,wnli,True,seq_bn_16_2_tanh,71.5314,88.772,11.184,525813308544000.0,0.7043026065826417,10.0,10.0,635,71.91634917259216,0.7365930676460266,0.30985915492957744,0.3561,199.369,25.272,10.0,10.0
8,saad,2024-07-23 15:33:47.460204,facebook/bart-base,glue,wnli,True,ia3,67.2989,94.355,11.887,487180625433600.0,0.7062132120132446,10.0,10.0,635,67.68580436706543,0.7139744758605957,0.4647887323943662,0.3416,207.857,26.348,10.0,10.0
9,saad,2024-07-23 15:33:47.460204,facebook/bart-base,glue,wnli,True,prompt_tuning,35.3338,179.715,22.641,486866013312000.0,0.7062480115890503,10.0,10.0,635,35.72786498069763,0.7137831449508667,0.4647887323943662,0.327,217.103,27.52,10.0,10.0
