,user_name,generated_on,train_loss,grad_norm,learning_rate,epoch,step_x,val_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,step_y,model_string,dataset_name,task_name,used_adapter,adapter_type
0,saad,2024-07-24 18:03:09.387890,0.6793,6.296366214752197,4.5e-05,1.0,1179,0.7470369935035706,0.6217125382262997,18.5832,175.966,22.009,1179,facebook/bart-base,super_glue,boolq,False,NA
1,saad,2024-07-24 18:03:09.387890,0.6381,5.138070106506348,4e-05,2.0,2358,0.6469064354896545,0.6327217125382263,17.0879,191.364,23.935,2358,facebook/bart-base,super_glue,boolq,False,NA
2,saad,2024-07-24 18:03:09.387890,0.5126,4.023375511169434,3.5e-05,3.0,3537,0.7925696969032288,0.67217125382263,17.0481,191.81,23.991,3537,facebook/bart-base,super_glue,boolq,False,NA
3,saad,2024-07-24 18:03:09.387890,0.3674,17.81804656982422,3e-05,4.0,4716,0.9727523326873779,0.6758409785932722,17.1944,190.178,23.787,4716,facebook/bart-base,super_glue,boolq,False,NA
4,saad,2024-07-24 18:03:09.387890,0.2775,1.3525331020355225,2.5e-05,5.0,5895,1.1947253942489624,0.6629969418960244,17.0794,191.458,23.947,5895,facebook/bart-base,super_glue,boolq,False,NA
5,saad,2024-07-24 18:03:09.387890,0.2151,0.9725729823112488,2e-05,6.0,7074,1.5291064977645874,0.672782874617737,17.0692,191.574,23.961,7074,facebook/bart-base,super_glue,boolq,False,NA
6,saad,2024-07-24 18:03:09.387890,0.1805,0.06165602058172226,1.5e-05,7.0,8253,1.7686907052993774,0.6663608562691131,17.1852,190.28,23.8,8253,facebook/bart-base,super_glue,boolq,False,NA
7,saad,2024-07-24 18:03:09.387890,0.1364,0.07713307440280914,1e-05,8.0,9432,1.602097988128662,0.6850152905198776,16.9999,192.354,24.059,9432,facebook/bart-base,super_glue,boolq,False,NA
8,saad,2024-07-24 18:03:09.387890,0.113,0.03867083042860031,5e-06,9.0,10611,1.9659422636032104,0.6669724770642201,17.193,190.194,23.789,10611,facebook/bart-base,super_glue,boolq,False,NA
9,saad,2024-07-24 18:03:09.387890,0.0961,0.027980491518974304,0.0,10.0,11790,1.975660800933838,0.6718654434250765,17.1648,190.506,23.828,11790,facebook/bart-base,super_glue,boolq,False,NA
10,saad,2024-07-24 18:03:09.387890,0.0961,0.027980491518974304,0.0,10.0,11790,1.975660800933838,0.6718654434250765,16.9943,192.417,24.067,11790,facebook/bart-base,super_glue,boolq,False,NA
