,user_name,generated_on,train_loss,grad_norm,learning_rate,epoch,step_x,val_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,step_y,model_string,dataset_name,task_name,used_adapter,adapter_type
0,saad,2024-07-24 17:25:20.788483,0.6694,4.369553089141846,4.5e-05,1.0,1179,0.6565414071083069,0.6299694189602446,19.6224,166.646,20.844,1179,facebook/bart-base,super_glue,boolq,True,seq_bn
1,saad,2024-07-24 17:25:20.788483,0.6443,6.036685466766357,4e-05,2.0,2358,0.6670352816581726,0.5957186544342508,17.6835,184.918,23.129,2358,facebook/bart-base,super_glue,boolq,True,seq_bn
2,saad,2024-07-24 17:25:20.788483,0.6215,4.960090637207031,3.5e-05,3.0,3537,0.6317176818847656,0.6397553516819572,17.6028,185.766,23.235,3537,facebook/bart-base,super_glue,boolq,True,seq_bn
3,saad,2024-07-24 17:25:20.788483,0.6025,6.074188232421875,3e-05,4.0,4716,0.6505093574523926,0.65565749235474,17.6142,185.645,23.22,4716,facebook/bart-base,super_glue,boolq,True,seq_bn
4,saad,2024-07-24 17:25:20.788483,0.5934,4.29515266418457,2.5e-05,5.0,5895,0.6368598341941833,0.6571865443425077,17.5305,186.532,23.331,5895,facebook/bart-base,super_glue,boolq,True,seq_bn
5,saad,2024-07-24 17:25:20.788483,0.5747,12.473541259765625,2e-05,6.0,7074,0.6308714747428894,0.6645259938837921,17.621,185.574,23.211,7074,facebook/bart-base,super_glue,boolq,True,seq_bn
6,saad,2024-07-24 17:25:20.788483,0.5647,11.542139053344727,1.5e-05,7.0,8253,0.632747232913971,0.6541284403669725,17.6704,185.055,23.146,8253,facebook/bart-base,super_glue,boolq,True,seq_bn
7,saad,2024-07-24 17:25:20.788483,0.5573,4.9106669425964355,1e-05,8.0,9432,0.6268039345741272,0.6568807339449542,17.5645,186.171,23.286,9432,facebook/bart-base,super_glue,boolq,True,seq_bn
8,saad,2024-07-24 17:25:20.788483,0.5472,6.967135906219482,5e-06,9.0,10611,0.6305017471313477,0.6633027522935779,17.5954,185.844,23.245,10611,facebook/bart-base,super_glue,boolq,True,seq_bn
9,saad,2024-07-24 17:25:20.788483,0.5373,5.630450248718262,0.0,10.0,11790,0.6306383609771729,0.6568807339449542,17.5567,186.254,23.296,11790,facebook/bart-base,super_glue,boolq,True,seq_bn
10,saad,2024-07-24 17:25:20.788483,0.5373,5.630450248718262,0.0,10.0,11790,0.6306383609771729,0.6568807339449542,17.5332,186.503,23.327,11790,facebook/bart-base,super_glue,boolq,True,seq_bn
0,saad,2024-07-24 17:25:20.788483,0.6766,4.696987628936768,4.5e-05,1.0,1179,0.667153537273407,0.6253822629969419,19.8973,164.344,20.556,1179,facebook/bart-base,super_glue,boolq,True,prefix_tuning
1,saad,2024-07-24 17:25:20.788483,0.6625,5.744634628295898,4e-05,2.0,2358,0.6558281779289246,0.6204892966360857,18.1261,180.403,22.564,2358,facebook/bart-base,super_glue,boolq,True,prefix_tuning
2,saad,2024-07-24 17:25:20.788483,0.6539,7.546374320983887,3.5e-05,3.0,3537,0.6510556936264038,0.6299694189602446,18.1371,180.294,22.551,3537,facebook/bart-base,super_glue,boolq,True,prefix_tuning
3,saad,2024-07-24 17:25:20.788483,0.6496,6.990407466888428,3e-05,4.0,4716,0.6625580787658691,0.6241590214067279,18.2219,179.454,22.445,4716,facebook/bart-base,super_glue,boolq,True,prefix_tuning
4,saad,2024-07-24 17:25:20.788483,0.6477,5.038780689239502,2.5e-05,5.0,5895,0.6505298614501953,0.6275229357798165,18.1625,180.041,22.519,5895,facebook/bart-base,super_glue,boolq,True,prefix_tuning
5,saad,2024-07-24 17:25:20.788483,0.6392,8.68918514251709,2e-05,6.0,7074,0.6495257616043091,0.6324159021406728,18.1913,179.756,22.483,7074,facebook/bart-base,super_glue,boolq,True,prefix_tuning
6,saad,2024-07-24 17:25:20.788483,0.6362,8.350876808166504,1.5e-05,7.0,8253,0.6515194773674011,0.6287461773700306,18.1454,180.211,22.54,8253,facebook/bart-base,super_glue,boolq,True,prefix_tuning
7,saad,2024-07-24 17:25:20.788483,0.6367,4.822887420654297,1e-05,8.0,9432,0.650598406791687,0.6327217125382263,18.0879,180.784,22.612,9432,facebook/bart-base,super_glue,boolq,True,prefix_tuning
8,saad,2024-07-24 17:25:20.788483,0.6301,9.444276809692383,5e-06,9.0,10611,0.6488932967185974,0.6314984709480123,18.1461,180.204,22.539,10611,facebook/bart-base,super_glue,boolq,True,prefix_tuning
9,saad,2024-07-24 17:25:20.788483,0.6322,7.51865291595459,0.0,10.0,11790,0.6483761072158813,0.6287461773700306,18.1064,180.599,22.589,11790,facebook/bart-base,super_glue,boolq,True,prefix_tuning
10,saad,2024-07-24 17:25:20.788483,0.6322,7.51865291595459,0.0,10.0,11790,0.6483761072158813,0.6287461773700306,18.1003,180.66,22.596,11790,facebook/bart-base,super_glue,boolq,True,prefix_tuning
0,saad,2024-07-24 17:25:20.788483,0.692,7.749061107635498,4.5e-05,1.0,1179,0.690406084060669,0.6217125382262997,22.0449,148.334,18.553,1179,facebook/bart-base,super_glue,boolq,True,mam_adapter
1,saad,2024-07-24 17:25:20.788483,0.6759,3.7740001678466797,4e-05,2.0,2358,0.6722487807273865,0.6217125382262997,19.7694,165.407,20.689,2358,facebook/bart-base,super_glue,boolq,True,mam_adapter
2,saad,2024-07-24 17:25:20.788483,0.6695,9.267210006713867,3.5e-05,3.0,3537,0.6633342504501343,0.6217125382262997,19.7678,165.421,20.69,3537,facebook/bart-base,super_glue,boolq,True,mam_adapter
3,saad,2024-07-24 17:25:20.788483,0.6668,1.3587939739227295,3e-05,4.0,4716,0.6763316988945007,0.6217125382262997,19.7568,165.513,20.702,4716,facebook/bart-base,super_glue,boolq,True,mam_adapter
4,saad,2024-07-24 17:25:20.788483,0.6654,0.8663411736488342,2.5e-05,5.0,5895,0.6675830483436584,0.6217125382262997,19.7137,165.875,20.747,5895,facebook/bart-base,super_glue,boolq,True,mam_adapter
5,saad,2024-07-24 17:25:20.788483,0.6651,10.776954650878906,2e-05,6.0,7074,0.6652290225028992,0.6217125382262997,19.6873,166.097,20.775,7074,facebook/bart-base,super_glue,boolq,True,mam_adapter
6,saad,2024-07-24 17:25:20.788483,0.6634,8.914715766906738,1.5e-05,7.0,8253,0.6646865606307983,0.6217125382262997,19.7974,165.174,20.659,8253,facebook/bart-base,super_glue,boolq,True,mam_adapter
7,saad,2024-07-24 17:25:20.788483,0.6626,1.5550962686538696,1e-05,8.0,9432,0.6632113456726074,0.6217125382262997,19.7264,165.768,20.734,9432,facebook/bart-base,super_glue,boolq,True,mam_adapter
8,saad,2024-07-24 17:25:20.788483,0.6629,1.3330942392349243,5e-06,9.0,10611,0.6637305617332458,0.6217125382262997,19.7745,165.364,20.683,10611,facebook/bart-base,super_glue,boolq,True,mam_adapter
9,saad,2024-07-24 17:25:20.788483,0.6629,1.641998529434204,0.0,10.0,11790,0.6631553769111633,0.6217125382262997,19.7183,165.836,20.742,11790,facebook/bart-base,super_glue,boolq,True,mam_adapter
10,saad,2024-07-24 17:25:20.788483,0.6629,1.641998529434204,0.0,10.0,11790,0.6631553769111633,0.6217125382262997,19.7611,165.476,20.697,11790,facebook/bart-base,super_glue,boolq,True,mam_adapter
0,saad,2024-07-24 17:25:20.788483,0.6743,5.159679412841797,4.5e-05,1.0,1179,0.6636903882026672,0.6241590214067279,18.1747,179.921,22.504,1179,facebook/bart-base,super_glue,boolq,True,compacter_plusplus
1,saad,2024-07-24 17:25:20.788483,0.6525,7.3209638595581055,4e-05,2.0,2358,0.6650601029396057,0.6097859327217126,17.3068,188.944,23.632,2358,facebook/bart-base,super_glue,boolq,True,compacter_plusplus
