,user_name,generated_on,train_loss,grad_norm,learning_rate,epoch,step_x,val_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,step_y,model_string,dataset_name,task_name,used_adapter,adapter_type
0,saad,2024-07-24 11:34:27.176132,0.6666,3.5212347507476807,4.5e-05,1.0,1179,0.6615347862243652,0.6226299694189602,13.7405,237.983,29.766,1179,google/electra-base-discriminator,super_glue,boolq,True,seq_bn
1,saad,2024-07-24 11:34:27.176132,0.6249,2.4619271755218506,4e-05,2.0,2358,0.5937741994857788,0.6844036697247706,13.8864,235.482,29.453,2358,google/electra-base-discriminator,super_glue,boolq,True,seq_bn
2,saad,2024-07-24 11:34:27.176132,0.5582,4.996687412261963,3.5e-05,3.0,3537,0.5660293698310852,0.7201834862385321,13.9015,235.226,29.421,3537,google/electra-base-discriminator,super_glue,boolq,True,seq_bn
3,saad,2024-07-24 11:34:27.176132,0.5091,6.8187336921691895,3e-05,4.0,4716,0.5483055710792542,0.7559633027522936,13.8732,235.706,29.481,4716,google/electra-base-discriminator,super_glue,boolq,True,seq_bn
4,saad,2024-07-24 11:34:27.176132,0.4731,1.2967534065246582,2.5e-05,5.0,5895,0.5174088478088379,0.7703363914373089,13.8512,236.08,29.528,5895,google/electra-base-discriminator,super_glue,boolq,True,seq_bn
5,saad,2024-07-24 11:34:27.176132,0.4518,17.833221435546875,2e-05,6.0,7074,0.5111392736434937,0.77217125382263,13.9085,235.109,29.407,7074,google/electra-base-discriminator,super_glue,boolq,True,seq_bn
6,saad,2024-07-24 11:34:27.176132,0.4271,15.74420166015625,1.5e-05,7.0,8253,0.5278195142745972,0.7837920489296636,13.9517,234.381,29.315,8253,google/electra-base-discriminator,super_glue,boolq,True,seq_bn
7,saad,2024-07-24 11:34:27.176132,0.4062,3.9705982208251953,1e-05,8.0,9432,0.5292741060256958,0.7862385321100918,13.8952,235.333,29.435,9432,google/electra-base-discriminator,super_glue,boolq,True,seq_bn
8,saad,2024-07-24 11:34:27.176132,0.4004,15.335662841796875,5e-06,9.0,10611,0.53434818983078,0.7850152905198777,13.8481,236.134,29.535,10611,google/electra-base-discriminator,super_glue,boolq,True,seq_bn
9,saad,2024-07-24 11:34:27.176132,0.3953,8.24151611328125,0.0,10.0,11790,0.5344648361206055,0.7853211009174312,13.8502,236.097,29.53,11790,google/electra-base-discriminator,super_glue,boolq,True,seq_bn
10,saad,2024-07-24 11:34:27.176132,0.3953,8.24151611328125,0.0,10.0,11790,0.5344648361206055,0.7853211009174312,13.8689,235.779,29.49,11790,google/electra-base-discriminator,super_glue,boolq,True,seq_bn
0,saad,2024-07-24 11:34:27.176132,0.6676,3.7226626873016357,4.5e-05,1.0,1179,0.6668273210525513,0.6217125382262997,13.553,241.276,30.178,1179,google/electra-base-discriminator,super_glue,boolq,True,prefix_tuning
1,saad,2024-07-24 11:34:27.176132,0.6665,1.9730069637298584,4e-05,2.0,2358,0.6601117253303528,0.6211009174311927,13.5493,241.34,30.186,2358,google/electra-base-discriminator,super_glue,boolq,True,prefix_tuning
