,user,generated_on,model_name,dataset_name,task_name,used_adapter,adapter_type,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch,epoch,train_samples,training_time,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,epoch
0,saad,2024-07-24 02:33:36.498251,distilbert/distilbert-base-uncased,super_glue,boolq,True,seq_bn,491.8441,191.666,23.971,3231768134031360.0,0.5587038100018554,10.0,10.0,9427,492.13394117355347,0.6109954118728638,0.6957186544342507,6.9275,472.033,59.04,10.0,10.0
1,saad,2024-07-24 02:33:36.498251,distilbert/distilbert-base-uncased,super_glue,boolq,True,prefix_tuning,487.4283,193.403,24.188,3187021854382080.0,0.6399050336454357,10.0,10.0,9427,487.72987151145935,0.6380965113639832,0.6437308868501529,7.3192,446.772,55.881,10.0,10.0
2,saad,2024-07-24 02:33:36.498251,distilbert/distilbert-base-uncased,super_glue,boolq,True,mam_adapter,591.2837,159.433,19.94,4002715904563200.0,0.5861176598365272,10.0,10.0,9427,591.5827748775482,0.7330285906791687,0.6700305810397553,8.1265,402.385,50.329,10.0,10.0
3,saad,2024-07-24 02:33:36.498251,distilbert/distilbert-base-uncased,super_glue,boolq,True,compacter_plusplus,478.8471,196.869,24.622,3168041638164480.0,0.6354252654278653,10.0,10.0,9427,479.14155745506287,0.6314986944198608,0.6483180428134556,6.9394,471.22,58.939,10.0,10.0
4,saad,2024-07-24 02:33:36.498251,distilbert/distilbert-base-uncased,super_glue,boolq,True,unipelt,684.0314,137.815,17.236,3582194357913600.0,0.5556112689017441,10.0,10.0,9427,684.3320462703705,0.6125310063362122,0.7048929663608563,9.1088,358.992,44.901,10.0,10.0
5,saad,2024-07-24 02:33:36.498251,distilbert/distilbert-base-uncased,super_glue,boolq,True,lora,459.2501,205.269,25.672,3177680599357440.0,0.600460895670987,10.0,10.0,9427,459.5615997314453,0.6017630100250244,0.674617737003058,6.677,489.744,61.255,10.0,10.0
6,saad,2024-07-24 02:33:36.498251,distilbert/distilbert-base-uncased,super_glue,boolq,True,seq_bn_16_2_relu,519.0997,181.603,22.712,3456104211732480.0,0.48393654859703006,10.0,10.0,9427,519.4061470031738,0.7722434997558594,0.7033639143730887,7.3647,444.013,55.536,10.0,10.0
7,saad,2024-07-24 02:33:36.498251,distilbert/distilbert-base-uncased,super_glue,boolq,True,seq_bn_16_2_tanh,516.5896,182.485,22.823,3456104211732480.0,0.4234210065302958,10.0,10.0,9427,516.9065487384796,1.1332437992095947,0.7039755351681957,7.1537,457.105,57.173,10.0,10.0
8,saad,2024-07-24 02:33:36.498251,distilbert/distilbert-base-uncased,super_glue,boolq,True,ia3,470.8092,200.23,25.042,3169006576834560.0,0.6337568106744328,10.0,10.0,9427,471.1072964668274,0.6298509836196899,0.6498470948012233,6.8355,478.385,59.835,10.0,10.0
9,saad,2024-07-24 02:33:36.498251,distilbert/distilbert-base-uncased,super_glue,boolq,True,prompt_tuning,500.9321,188.189,23.536,3167004879329280.0,0.6391656488963767,10.0,10.0,9427,501.244571685791,0.6390764713287354,0.6382262996941896,7.2854,448.841,56.139,10.0,10.0
