,user_name,generated_on,train_loss,grad_norm,learning_rate,epoch,step_x,val_loss,eval_accuracy,eval_f1,eval_combined_score,eval_runtime,eval_samples_per_second,eval_steps_per_second,step_y,model_string,dataset_name,task_name,used_adapter,adapter_type
0,saad,2024-07-24 02:37:01.839225,0.8929,27.61530113220215,4.5e-05,1.0,32,1.1759191751480103,0.6607142857142857,0.4554726368159204,0.5580934612651031,0.5147,108.809,13.601,32,facebook/bart-base,super_glue,cb,False,NA
1,saad,2024-07-24 02:37:01.839225,0.5194,1.0184621810913086,4e-05,2.0,64,0.5301204919815063,0.8035714285714286,0.6631005329166166,0.7333359807440226,0.5084,110.145,13.768,64,facebook/bart-base,super_glue,cb,False,NA
2,saad,2024-07-24 02:37:01.839225,0.4416,31.92562484741211,3.5e-05,3.0,96,0.7509711980819702,0.8214285714285714,0.7489366116817098,0.7851825915551406,0.5297,105.724,13.215,96,facebook/bart-base,super_glue,cb,False,NA
3,saad,2024-07-24 02:37:01.839225,0.1778,12.775238990783691,3e-05,4.0,128,0.4409484565258026,0.875,0.8788720538720538,0.8769360269360269,0.5284,105.976,13.247,128,facebook/bart-base,super_glue,cb,False,NA
4,saad,2024-07-24 02:37:01.839225,0.0894,26.76873016357422,2.5e-05,5.0,160,0.5969533920288086,0.9107142857142857,0.9044113450893111,0.9075628154017984,0.5154,108.651,13.581,160,facebook/bart-base,super_glue,cb,False,NA
5,saad,2024-07-24 02:37:01.839225,0.0258,0.04002857208251953,2e-05,6.0,192,0.5964284539222717,0.8928571428571429,0.890869939707149,0.891863541282146,0.5158,108.576,13.572,192,facebook/bart-base,super_glue,cb,False,NA
6,saad,2024-07-24 02:37:01.839225,0.006,0.016381990164518356,1.5e-05,7.0,224,0.5868313908576965,0.9107142857142857,0.9044113450893111,0.9075628154017984,0.494,113.365,14.171,224,facebook/bart-base,super_glue,cb,False,NA
7,saad,2024-07-24 02:37:01.839225,0.0074,0.01164298877120018,1e-05,8.0,256,0.6259106397628784,0.9107142857142857,0.9044113450893111,0.9075628154017984,0.5089,110.033,13.754,256,facebook/bart-base,super_glue,cb,False,NA
8,saad,2024-07-24 02:37:01.839225,0.0007,0.011859862133860588,5e-06,9.0,288,0.6511927247047424,0.9107142857142857,0.9044113450893111,0.9075628154017984,0.4954,113.049,14.131,288,facebook/bart-base,super_glue,cb,False,NA
9,saad,2024-07-24 02:37:01.839225,0.0005,0.023498402908444405,0.0,10.0,320,0.657739520072937,0.9107142857142857,0.9044113450893111,0.9075628154017984,0.4901,114.252,14.282,320,facebook/bart-base,super_glue,cb,False,NA
10,saad,2024-07-24 02:37:01.839225,0.0005,0.023498402908444405,0.0,10.0,320,0.657739520072937,0.9107142857142857,0.9044113450893111,0.9075628154017984,0.5589,100.202,12.525,320,facebook/bart-base,super_glue,cb,False,NA
