,user_name,generated_on,train_loss,grad_norm,learning_rate,epoch,step_x,val_loss,eval_accuracy,eval_f1,eval_combined_score,eval_runtime,eval_samples_per_second,eval_steps_per_second,step_y,model_string,dataset_name,task_name,used_adapter,adapter_type
0,saad,2024-07-24 02:54:58.040482,0.911,2.8734376430511475,4.5e-05,1.0,32,0.9084190726280212,0.625,0.43605870020964366,0.5305293501048218,0.4724,118.531,14.816,32,google/electra-base-discriminator,super_glue,cb,True,seq_bn
1,saad,2024-07-24 02:54:58.040482,0.8165,2.547433614730835,4e-05,2.0,64,0.8416241407394409,0.6785714285714286,0.47391812865497074,0.5762447786131997,0.4664,120.079,15.01,64,google/electra-base-discriminator,super_glue,cb,True,seq_bn
2,saad,2024-07-24 02:54:58.040482,0.7526,7.207928657531738,3.5e-05,3.0,96,0.795008659362793,0.6785714285714286,0.47391812865497074,0.5762447786131997,0.4634,120.839,15.105,96,google/electra-base-discriminator,super_glue,cb,True,seq_bn
3,saad,2024-07-24 02:54:58.040482,0.6611,2.1575160026550293,3e-05,4.0,128,0.7944034934043884,0.6964285714285714,0.486277269528501,0.5913529204785362,0.5031,111.313,13.914,128,google/electra-base-discriminator,super_glue,cb,True,seq_bn
4,saad,2024-07-24 02:54:58.040482,0.6507,7.075347900390625,2.5e-05,5.0,160,0.8333088159561157,0.6785714285714286,0.47391812865497074,0.5762447786131997,0.4836,115.788,14.474,160,google/electra-base-discriminator,super_glue,cb,True,seq_bn
5,saad,2024-07-24 02:54:58.040482,0.6193,1.5846362113952637,2e-05,6.0,192,0.8405572175979614,0.6785714285714286,0.47391812865497074,0.5762447786131997,0.4794,116.818,14.602,192,google/electra-base-discriminator,super_glue,cb,True,seq_bn
6,saad,2024-07-24 02:54:58.040482,0.612,7.682288646697998,1.5e-05,7.0,224,0.8317791819572449,0.6785714285714286,0.47391812865497074,0.5762447786131997,0.495,113.124,14.14,224,google/electra-base-discriminator,super_glue,cb,True,seq_bn
7,saad,2024-07-24 02:54:58.040482,0.6056,3.288565158843994,1e-05,8.0,256,0.8270483613014221,0.6785714285714286,0.47391812865497074,0.5762447786131997,0.4655,120.301,15.038,256,google/electra-base-discriminator,super_glue,cb,True,seq_bn
8,saad,2024-07-24 02:54:58.040482,0.5787,1.8351839780807495,5e-06,9.0,288,0.828295886516571,0.6785714285714286,0.47391812865497074,0.5762447786131997,0.4625,121.082,15.135,288,google/electra-base-discriminator,super_glue,cb,True,seq_bn
9,saad,2024-07-24 02:54:58.040482,0.6175,9.809338569641113,0.0,10.0,320,0.8323211669921875,0.6785714285714286,0.47391812865497074,0.5762447786131997,0.4767,117.483,14.685,320,google/electra-base-discriminator,super_glue,cb,True,seq_bn
10,saad,2024-07-24 02:54:58.040482,0.6175,9.809338569641113,0.0,10.0,320,0.8323211669921875,0.6785714285714286,0.47391812865497074,0.5762447786131997,0.4533,123.531,15.441,320,google/electra-base-discriminator,super_glue,cb,True,seq_bn
0,saad,2024-07-24 02:54:58.040482,0.9273,3.446753740310669,4.5e-05,1.0,32,0.9421380162239075,0.48214285714285715,0.29894179894179895,0.390542328042328,0.4655,120.312,15.039,32,google/electra-base-discriminator,super_glue,cb,True,prefix_tuning
1,saad,2024-07-24 02:54:58.040482,0.8646,3.331411838531494,4e-05,2.0,64,0.9065794348716736,0.6071428571428571,0.4208037825059101,0.5139733198243837,0.4577,122.345,15.293,64,google/electra-base-discriminator,super_glue,cb,True,prefix_tuning
2,saad,2024-07-24 02:54:58.040482,0.8557,6.43722677230835,3.5e-05,3.0,96,0.9064339995384216,0.5535714285714286,0.38132387706855786,0.46744765281999323,0.4576,122.374,15.297,96,google/electra-base-discriminator,super_glue,cb,True,prefix_tuning
3,saad,2024-07-24 02:54:58.040482,0.8232,2.7796413898468018,3e-05,4.0,128,0.8918963670730591,0.5714285714285714,0.3952448210922787,0.4833366962604251,0.4869,115.017,14.377,128,google/electra-base-discriminator,super_glue,cb,True,prefix_tuning
4,saad,2024-07-24 02:54:58.040482,0.8038,6.141763687133789,2.5e-05,5.0,160,0.8803399205207825,0.625,0.4324067474459492,0.5287033737229746,0.4585,122.132,15.267,160,google/electra-base-discriminator,super_glue,cb,True,prefix_tuning
