,user,generated_on,model_name,dataset_name,task_name,used_adapter,adapter_type,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch,epoch,train_samples,training_time,eval_loss,eval_accuracy,eval_f1,eval_combined_score,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,epoch
0,saad,2024-07-24 03:08:33.810834,facebook/bart-base,super_glue,cb,True,seq_bn,57.2732,43.65,5.587,195115996800000.0,0.5996862977743149,10.0,10.0,250,58.05638313293457,0.718755304813385,0.7142857142857143,0.49894736842105264,0.6066165413533835,0.5388,103.931,12.991,10.0,10.0
1,saad,2024-07-24 03:08:33.810834,facebook/bart-base,super_glue,cb,True,prefix_tuning,56.2734,44.426,5.687,193273534080000.0,0.7188687682151794,10.0,10.0,250,56.643232345581055,0.7742530107498169,0.6964285714285714,0.486277269528501,0.5913529204785362,0.5495,101.909,12.739,10.0,10.0
2,saad,2024-07-24 03:08:33.810834,facebook/bart-base,super_glue,cb,True,mam_adapter,66.6343,37.518,4.802,251361060480000.0,0.35895769521594045,10.0,10.0,250,67.00230526924133,0.6789566278457642,0.8392857142857143,0.7608465608465608,0.8000661375661375,0.61,91.804,11.475,10.0,10.0
3,saad,2024-07-24 03:08:33.810834,facebook/bart-base,super_glue,cb,True,compacter_plusplus,54.5249,45.851,5.869,191735875200000.0,0.652071762084961,10.0,10.0,250,54.9056830406189,0.7823134660720825,0.7142857142857143,0.49894736842105264,0.6066165413533835,0.5342,104.829,13.104,10.0,10.0
4,saad,2024-07-24 03:08:33.810834,facebook/bart-base,super_glue,cb,True,unipelt,71.8852,34.778,4.452,223845344640000.0,0.592486435174942,10.0,10.0,250,72.25818157196045,0.7409911155700684,0.6964285714285714,0.5886015325670498,0.6425150519978107,0.609,91.952,11.494,10.0,10.0
5,saad,2024-07-24 03:08:33.810834,facebook/bart-base,super_glue,cb,True,lora,56.8025,44.012,5.634,192530355840000.0,0.6389051020145416,10.0,10.0,250,57.17889142036438,0.7615589499473572,0.7142857142857143,0.49894736842105264,0.6066165413533835,0.5386,103.964,12.995,10.0,10.0
6,saad,2024-07-24 03:08:33.810834,facebook/bart-base,super_glue,cb,True,seq_bn_16_2_relu,59.9909,41.673,5.334,207014590080000.0,0.4692110627889633,10.0,10.0,250,60.369415044784546,0.634183406829834,0.7678571428571429,0.639367816091954,0.7036124794745484,0.5888,95.111,11.889,10.0,10.0
7,saad,2024-07-24 03:08:33.810834,facebook/bart-base,super_glue,cb,True,seq_bn_16_2_tanh,60.2714,41.479,5.309,207014590080000.0,0.44264779835939405,10.0,10.0,250,60.65782809257507,0.7021639943122864,0.7857142857142857,0.6515873015873016,0.7186507936507937,0.5621,99.62,12.453,10.0,10.0
8,saad,2024-07-24 03:08:33.810834,facebook/bart-base,super_glue,cb,True,ia3,56.4165,44.313,5.672,191804872320000.0,0.6514285445213318,10.0,10.0,250,56.79063296318054,0.7812538146972656,0.7142857142857143,0.49894736842105264,0.6066165413533835,0.5444,102.863,12.858,10.0,10.0
9,saad,2024-07-24 03:08:33.810834,facebook/bart-base,super_glue,cb,True,prompt_tuning,30.3752,82.304,10.535,191681009280000.0,0.6581679999828338,10.0,10.0,250,30.76379132270813,0.7876787781715393,0.6964285714285714,0.48646125116713357,0.5914449112978525,0.5394,103.823,12.978,10.0,10.0
