,user_name,generated_on,train_loss,grad_norm,learning_rate,epoch,step_x,val_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,step_y,model_string,dataset_name,task_name,used_adapter,adapter_type
0,saad,2024-07-24 03:22:17.813234,0.6967,4.121851921081543,4.5e-05,1.0,312,0.698381245136261,0.47653429602888087,1.1112,249.283,31.498,312,distilbert/distilbert-base-uncased,super_glue,rte,False,NA
1,saad,2024-07-24 03:22:17.813234,0.6448,8.289271354675293,4e-05,2.0,624,0.6803255081176758,0.5703971119133574,1.0607,261.156,32.998,624,distilbert/distilbert-base-uncased,super_glue,rte,False,NA
2,saad,2024-07-24 03:22:17.813234,0.3885,15.565736770629883,3.5e-05,3.0,936,1.1419425010681152,0.5487364620938628,1.1007,251.652,31.797,936,distilbert/distilbert-base-uncased,super_glue,rte,False,NA
3,saad,2024-07-24 03:22:17.813234,0.1969,0.26013338565826416,3e-05,4.0,1248,1.630200982093811,0.555956678700361,1.0843,255.464,32.279,1248,distilbert/distilbert-base-uncased,super_glue,rte,False,NA
4,saad,2024-07-24 03:22:17.813234,0.1015,0.03916347771883011,2.5e-05,5.0,1560,2.3808255195617676,0.5740072202166066,1.0655,259.984,32.85,1560,distilbert/distilbert-base-uncased,super_glue,rte,False,NA
5,saad,2024-07-24 03:22:17.813234,0.0627,0.024951720610260963,2e-05,6.0,1872,2.57017183303833,0.5667870036101083,1.1301,245.114,30.971,1872,distilbert/distilbert-base-uncased,super_glue,rte,False,NA
6,saad,2024-07-24 03:22:17.813234,0.0283,0.015267147682607174,1.5e-05,7.0,2184,2.886122703552246,0.5740072202166066,1.0632,260.538,32.92,2184,distilbert/distilbert-base-uncased,super_glue,rte,False,NA
7,saad,2024-07-24 03:22:17.813234,0.018,0.008955501951277256,1e-05,8.0,2496,3.0179567337036133,0.5812274368231047,1.1003,251.76,31.811,2496,distilbert/distilbert-base-uncased,super_glue,rte,False,NA
8,saad,2024-07-24 03:22:17.813234,0.0115,0.013006802648305893,5e-06,9.0,2808,3.064304828643799,0.5776173285198556,1.0656,259.951,32.846,2808,distilbert/distilbert-base-uncased,super_glue,rte,False,NA
9,saad,2024-07-24 03:22:17.813234,0.0063,0.005448380019515753,0.0,10.0,3120,3.0520098209381104,0.5776173285198556,1.0714,258.552,32.669,3120,distilbert/distilbert-base-uncased,super_glue,rte,False,NA
10,saad,2024-07-24 03:22:17.813234,0.0063,0.005448380019515753,0.0,10.0,3120,3.0520098209381104,0.5776173285198556,1.1201,247.29,31.246,3120,distilbert/distilbert-base-uncased,super_glue,rte,False,NA
