,user_name,generated_on,train_loss,grad_norm,learning_rate,epoch,step_x,val_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,step_y,model_string,dataset_name,task_name,used_adapter,adapter_type
0,saad,2024-07-24 04:38:09.700854,0.6991,7.376094818115234,4.5e-05,1.0,312,0.6898446679115295,0.4981949458483754,1.1922,232.343,29.357,312,distilbert/distilbert-base-uncased,super_glue,rte,True,seq_bn
1,saad,2024-07-24 04:38:09.700854,0.6869,4.850494861602783,4e-05,2.0,624,0.7046685218811035,0.49097472924187724,1.2123,228.492,28.871,624,distilbert/distilbert-base-uncased,super_glue,rte,True,seq_bn
2,saad,2024-07-24 04:38:09.700854,0.6745,6.244987964630127,3.5e-05,3.0,936,0.6820861101150513,0.5884476534296029,1.1425,242.441,30.633,936,distilbert/distilbert-base-uncased,super_glue,rte,True,seq_bn
3,saad,2024-07-24 04:38:09.700854,0.6629,3.7483301162719727,3e-05,4.0,1248,0.6780664324760437,0.5956678700361011,1.9736,140.354,17.734,1248,distilbert/distilbert-base-uncased,super_glue,rte,True,seq_bn
4,saad,2024-07-24 04:38:09.700854,0.6457,6.636654853820801,2.5e-05,5.0,1560,0.6874465942382812,0.6101083032490975,1.1596,238.866,30.182,1560,distilbert/distilbert-base-uncased,super_glue,rte,True,seq_bn
5,saad,2024-07-24 04:38:09.700854,0.6263,5.475779056549072,2e-05,6.0,1872,0.694762647151947,0.5884476534296029,1.1576,239.279,30.234,1872,distilbert/distilbert-base-uncased,super_glue,rte,True,seq_bn
6,saad,2024-07-24 04:38:09.700854,0.6113,5.593567848205566,1.5e-05,7.0,2184,0.6996135115623474,0.5992779783393501,1.1543,239.974,30.322,2184,distilbert/distilbert-base-uncased,super_glue,rte,True,seq_bn
7,saad,2024-07-24 04:38:09.700854,0.5954,6.450653553009033,1e-05,8.0,2496,0.7015424966812134,0.5776173285198556,1.1789,234.974,29.69,2496,distilbert/distilbert-base-uncased,super_glue,rte,True,seq_bn
8,saad,2024-07-24 04:38:09.700854,0.5881,8.226663589477539,5e-06,9.0,2808,0.708069920539856,0.5776173285198556,1.1495,240.975,30.448,2808,distilbert/distilbert-base-uncased,super_glue,rte,True,seq_bn
9,saad,2024-07-24 04:38:09.700854,0.5779,4.142867565155029,0.0,10.0,3120,0.7066369652748108,0.5992779783393501,1.1549,239.854,30.306,3120,distilbert/distilbert-base-uncased,super_glue,rte,True,seq_bn
10,saad,2024-07-24 04:38:09.700854,0.5779,4.142867565155029,0.0,10.0,3120,0.7066369652748108,0.5992779783393501,1.164,237.967,30.068,3120,distilbert/distilbert-base-uncased,super_glue,rte,True,seq_bn
0,saad,2024-07-24 04:38:09.700854,0.699,7.218721389770508,4.5e-05,1.0,312,0.6901569366455078,0.4981949458483754,1.2105,228.822,28.913,312,distilbert/distilbert-base-uncased,super_glue,rte,True,prefix_tuning
1,saad,2024-07-24 04:38:09.700854,0.6896,6.272024631500244,4e-05,2.0,624,0.7038832306861877,0.48014440433212996,1.1546,239.912,30.314,624,distilbert/distilbert-base-uncased,super_glue,rte,True,prefix_tuning
2,saad,2024-07-24 04:38:09.700854,0.6833,9.19609546661377,3.5e-05,3.0,936,0.6879727244377136,0.555956678700361,1.2307,225.074,28.439,936,distilbert/distilbert-base-uncased,super_glue,rte,True,prefix_tuning
