,user_name,generated_on,train_loss,grad_norm,learning_rate,epoch,step_x,val_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,step_y,model_string,dataset_name,task_name,used_adapter,adapter_type
0,saad,2024-07-24 07:32:15.443470,0.705,13.123152732849121,4.5e-05,1.0,312,0.6727380752563477,0.5667870036101083,2.716,101.989,12.887,312,facebook/bart-base,super_glue,rte,True,seq_bn
1,saad,2024-07-24 07:32:15.443470,0.6758,9.155645370483398,4e-05,2.0,624,0.6465611457824707,0.6570397111913358,2.7234,101.711,12.852,624,facebook/bart-base,super_glue,rte,True,seq_bn
2,saad,2024-07-24 07:32:15.443470,0.6603,14.996734619140625,3.5e-05,3.0,936,0.6328913569450378,0.6389891696750902,2.7004,102.577,12.961,936,facebook/bart-base,super_glue,rte,True,seq_bn
3,saad,2024-07-24 07:32:15.443470,0.6388,9.82280158996582,3e-05,4.0,1248,0.6336826682090759,0.6498194945848376,2.7206,101.815,12.865,1248,facebook/bart-base,super_glue,rte,True,seq_bn
4,saad,2024-07-24 07:32:15.443470,0.6173,11.90023422241211,2.5e-05,5.0,1560,0.6306461691856384,0.6714801444043321,2.7594,100.383,12.684,1560,facebook/bart-base,super_glue,rte,True,seq_bn
5,saad,2024-07-24 07:32:15.443470,0.5929,6.362159252166748,2e-05,6.0,1872,0.620306134223938,0.6678700361010831,2.7968,99.043,12.514,1872,facebook/bart-base,super_glue,rte,True,seq_bn
6,saad,2024-07-24 07:32:15.443470,0.5901,10.102255821228027,1.5e-05,7.0,2184,0.6358715295791626,0.6967509025270758,2.7607,100.338,12.678,2184,facebook/bart-base,super_glue,rte,True,seq_bn
7,saad,2024-07-24 07:32:15.443470,0.5535,6.696941375732422,1e-05,8.0,2496,0.6480637788772583,0.703971119133574,2.7237,101.7,12.85,2496,facebook/bart-base,super_glue,rte,True,seq_bn
8,saad,2024-07-24 07:32:15.443470,0.5613,12.429991722106934,5e-06,9.0,2808,0.6379247903823853,0.6931407942238267,2.7109,102.178,12.911,2808,facebook/bart-base,super_glue,rte,True,seq_bn
9,saad,2024-07-24 07:32:15.443470,0.5487,2.500812292098999,0.0,10.0,3120,0.6446694135665894,0.7003610108303249,2.7271,101.573,12.834,3120,facebook/bart-base,super_glue,rte,True,seq_bn
10,saad,2024-07-24 07:32:15.443470,0.5487,2.500812292098999,0.0,10.0,3120,0.6446694135665894,0.7003610108303249,2.7144,102.048,12.894,3120,facebook/bart-base,super_glue,rte,True,seq_bn
0,saad,2024-07-24 07:32:15.443470,0.7007,13.562555313110352,4.5e-05,1.0,312,0.6487798094749451,0.6389891696750902,2.757,100.473,12.695,312,facebook/bart-base,super_glue,rte,True,prefix_tuning
1,saad,2024-07-24 07:32:15.443470,0.6732,10.874236106872559,4e-05,2.0,624,0.6546076536178589,0.631768953068592,2.7649,100.184,12.659,624,facebook/bart-base,super_glue,rte,True,prefix_tuning
2,saad,2024-07-24 07:32:15.443470,0.6628,17.59454345703125,3.5e-05,3.0,936,0.6411898732185364,0.6245487364620939,2.8508,97.165,12.277,936,facebook/bart-base,super_glue,rte,True,prefix_tuning
3,saad,2024-07-24 07:32:15.443470,0.6549,8.250246047973633,3e-05,4.0,1248,0.633385181427002,0.6209386281588448,2.7735,99.874,12.62,1248,facebook/bart-base,super_glue,rte,True,prefix_tuning
4,saad,2024-07-24 07:32:15.443470,0.6466,11.71983814239502,2.5e-05,5.0,1560,0.6399574279785156,0.6101083032490975,2.7434,100.97,12.758,1560,facebook/bart-base,super_glue,rte,True,prefix_tuning
5,saad,2024-07-24 07:32:15.443470,0.6521,9.730039596557617,2e-05,6.0,1872,0.63194340467453,0.6606498194945848,2.7268,101.583,12.835,1872,facebook/bart-base,super_glue,rte,True,prefix_tuning
6,saad,2024-07-24 07:32:15.443470,0.6436,8.295563697814941,1.5e-05,7.0,2184,0.6474227905273438,0.6245487364620939,2.8321,97.809,12.358,2184,facebook/bart-base,super_glue,rte,True,prefix_tuning
7,saad,2024-07-24 07:32:15.443470,0.6364,5.8148884773254395,1e-05,8.0,2496,0.6302895545959473,0.6389891696750902,2.7952,99.098,12.521,2496,facebook/bart-base,super_glue,rte,True,prefix_tuning
8,saad,2024-07-24 07:32:15.443470,0.6398,8.392739295959473,5e-06,9.0,2808,0.6335309147834778,0.6173285198555957,2.74,101.094,12.774,2808,facebook/bart-base,super_glue,rte,True,prefix_tuning
9,saad,2024-07-24 07:32:15.443470,0.6319,6.584460735321045,0.0,10.0,3120,0.6335164904594421,0.6137184115523465,2.7396,101.111,12.776,3120,facebook/bart-base,super_glue,rte,True,prefix_tuning
10,saad,2024-07-24 07:32:15.443470,0.6319,6.584460735321045,0.0,10.0,3120,0.6335164904594421,0.6137184115523465,2.7218,101.77,12.859,3120,facebook/bart-base,super_glue,rte,True,prefix_tuning
0,saad,2024-07-24 07:32:15.443470,0.7186,16.279787063598633,4.5e-05,1.0,312,0.71359783411026,0.49097472924187724,3.1098,89.074,11.255,312,facebook/bart-base,super_glue,rte,True,mam_adapter
1,saad,2024-07-24 07:32:15.443470,0.6689,16.29498291015625,4e-05,2.0,624,0.628447413444519,0.6570397111913358,3.0443,90.989,11.497,624,facebook/bart-base,super_glue,rte,True,mam_adapter
2,saad,2024-07-24 07:32:15.443470,0.6218,18.860759735107422,3.5e-05,3.0,936,0.5887700319290161,0.6895306859205776,3.0282,91.474,11.558,936,facebook/bart-base,super_glue,rte,True,mam_adapter
3,saad,2024-07-24 07:32:15.443470,0.5422,23.80919075012207,3e-05,4.0,1248,0.5997127294540405,0.6967509025270758,3.1511,87.907,11.107,1248,facebook/bart-base,super_glue,rte,True,mam_adapter
4,saad,2024-07-24 07:32:15.443470,0.4647,35.12730026245117,2.5e-05,5.0,1560,0.623479962348938,0.7364620938628159,3.0824,89.864,11.355,1560,facebook/bart-base,super_glue,rte,True,mam_adapter
5,saad,2024-07-24 07:32:15.443470,0.387,12.445563316345215,2e-05,6.0,1872,0.6917697191238403,0.7292418772563177,3.0114,91.985,11.623,1872,facebook/bart-base,super_glue,rte,True,mam_adapter
6,saad,2024-07-24 07:32:15.443470,0.3274,49.47421646118164,1.5e-05,7.0,2184,0.9382541179656982,0.7328519855595668,3.1261,88.608,11.196,2184,facebook/bart-base,super_glue,rte,True,mam_adapter
7,saad,2024-07-24 07:32:15.443470,0.2817,15.273809432983398,1e-05,8.0,2496,0.954419732093811,0.7292418772563177,3.0308,91.394,11.548,2496,facebook/bart-base,super_glue,rte,True,mam_adapter
8,saad,2024-07-24 07:32:15.443470,0.257,16.692453384399414,5e-06,9.0,2808,1.1186829805374146,0.7328519855595668,3.0884,89.691,11.333,2808,facebook/bart-base,super_glue,rte,True,mam_adapter
9,saad,2024-07-24 07:32:15.443470,0.2286,0.14928588271141052,0.0,10.0,3120,1.2129451036453247,0.740072202166065,3.1647,87.528,11.059,3120,facebook/bart-base,super_glue,rte,True,mam_adapter
10,saad,2024-07-24 07:32:15.443470,0.2286,0.14928588271141052,0.0,10.0,3120,1.2129451036453247,0.740072202166065,3.0847,89.797,11.346,3120,facebook/bart-base,super_glue,rte,True,mam_adapter
0,saad,2024-07-24 07:32:15.443470,0.7071,12.094649314880371,4.5e-05,1.0,312,0.6855562925338745,0.5415162454873647,2.7386,101.148,12.78,312,facebook/bart-base,super_glue,rte,True,compacter_plusplus
1,saad,2024-07-24 07:32:15.443470,0.6902,11.158353805541992,4e-05,2.0,624,0.6927579641342163,0.5126353790613718,2.6898,102.982,13.012,624,facebook/bart-base,super_glue,rte,True,compacter_plusplus
2,saad,2024-07-24 07:32:15.443470,0.6828,14.840957641601562,3.5e-05,3.0,936,0.666849672794342,0.6028880866425993,2.6688,103.792,13.114,936,facebook/bart-base,super_glue,rte,True,compacter_plusplus
3,saad,2024-07-24 07:32:15.443470,0.6811,7.446099758148193,3e-05,4.0,1248,0.6651270389556885,0.6028880866425993,2.7669,100.113,12.65,1248,facebook/bart-base,super_glue,rte,True,compacter_plusplus
4,saad,2024-07-24 07:32:15.443470,0.6788,11.04101276397705,2.5e-05,5.0,1560,0.666041374206543,0.5776173285198556,2.6812,103.311,13.054,1560,facebook/bart-base,super_glue,rte,True,compacter_plusplus
5,saad,2024-07-24 07:32:15.443470,0.6688,5.296941757202148,2e-05,6.0,1872,0.674306333065033,0.555956678700361,2.674,103.592,13.089,1872,facebook/bart-base,super_glue,rte,True,compacter_plusplus
6,saad,2024-07-24 07:32:15.443470,0.6711,5.934471607208252,1.5e-05,7.0,2184,0.6671051979064941,0.5992779783393501,2.7106,102.193,12.912,2184,facebook/bart-base,super_glue,rte,True,compacter_plusplus
7,saad,2024-07-24 07:32:15.443470,0.6581,6.0340375900268555,1e-05,8.0,2496,0.6614663004875183,0.6028880866425993,2.6986,102.647,12.97,2496,facebook/bart-base,super_glue,rte,True,compacter_plusplus
8,saad,2024-07-24 07:32:15.443470,0.6615,7.388067245483398,5e-06,9.0,2808,0.6611731648445129,0.6209386281588448,2.6636,103.993,13.14,2808,facebook/bart-base,super_glue,rte,True,compacter_plusplus
9,saad,2024-07-24 07:32:15.443470,0.653,4.799733638763428,0.0,10.0,3120,0.6617850661277771,0.6064981949458483,2.6644,103.964,13.136,3120,facebook/bart-base,super_glue,rte,True,compacter_plusplus
10,saad,2024-07-24 07:32:15.443470,0.653,4.799733638763428,0.0,10.0,3120,0.6617850661277771,0.6064981949458483,2.6757,103.523,13.08,3120,facebook/bart-base,super_glue,rte,True,compacter_plusplus
0,saad,2024-07-24 07:32:15.443470,0.7017,12.242889404296875,4.5e-05,1.0,312,0.6713544726371765,0.5956678700361011,3.0461,90.937,11.49,312,facebook/bart-base,super_glue,rte,True,unipelt
1,saad,2024-07-24 07:32:15.443470,0.6646,8.08562183380127,4e-05,2.0,624,0.637890100479126,0.6028880866425993,3.0878,89.706,11.335,624,facebook/bart-base,super_glue,rte,True,unipelt
2,saad,2024-07-24 07:32:15.443470,0.6378,12.540081977844238,3.5e-05,3.0,936,0.6280491948127747,0.6353790613718412,3.0747,90.09,11.383,936,facebook/bart-base,super_glue,rte,True,unipelt
3,saad,2024-07-24 07:32:15.443470,0.613,4.5054826736450195,3e-05,4.0,1248,0.6198136806488037,0.6606498194945848,3.0823,89.867,11.355,1248,facebook/bart-base,super_glue,rte,True,unipelt
4,saad,2024-07-24 07:32:15.443470,0.5924,16.879436492919922,2.5e-05,5.0,1560,0.6278526782989502,0.6642599277978339,3.0851,89.787,11.345,1560,facebook/bart-base,super_glue,rte,True,unipelt
5,saad,2024-07-24 07:32:15.443470,0.5693,10.40993881225586,2e-05,6.0,1872,0.6013426184654236,0.6859205776173285,3.0704,90.215,11.399,1872,facebook/bart-base,super_glue,rte,True,unipelt
6,saad,2024-07-24 07:32:15.443470,0.543,17.33774185180664,1.5e-05,7.0,2184,0.6227381825447083,0.7111913357400722,3.1008,89.331,11.287,2184,facebook/bart-base,super_glue,rte,True,unipelt
7,saad,2024-07-24 07:32:15.443470,0.5315,9.548552513122559,1e-05,8.0,2496,0.6160573363304138,0.6787003610108303,3.0746,90.093,11.384,2496,facebook/bart-base,super_glue,rte,True,unipelt
8,saad,2024-07-24 07:32:15.443470,0.5187,14.640206336975098,5e-06,9.0,2808,0.5998858213424683,0.6895306859205776,3.1017,89.305,11.284,2808,facebook/bart-base,super_glue,rte,True,unipelt
9,saad,2024-07-24 07:32:15.443470,0.5008,6.568854808807373,0.0,10.0,3120,0.6022842526435852,0.6967509025270758,3.0974,89.429,11.3,3120,facebook/bart-base,super_glue,rte,True,unipelt
10,saad,2024-07-24 07:32:15.443470,0.5008,6.568854808807373,0.0,10.0,3120,0.6022842526435852,0.6967509025270758,3.0939,89.53,11.312,3120,facebook/bart-base,super_glue,rte,True,unipelt
0,saad,2024-07-24 07:32:15.443470,0.7071,12.125411987304688,4.5e-05,1.0,312,0.6837997436523438,0.5523465703971119,2.7326,101.369,12.808,312,facebook/bart-base,super_glue,rte,True,lora
1,saad,2024-07-24 07:32:15.443470,0.689,10.756114959716797,4e-05,2.0,624,0.6838985681533813,0.5234657039711191,2.7751,99.815,12.612,624,facebook/bart-base,super_glue,rte,True,lora
2,saad,2024-07-24 07:32:15.443470,0.6792,14.285252571105957,3.5e-05,3.0,936,0.6570352911949158,0.6353790613718412,2.809,98.61,12.46,936,facebook/bart-base,super_glue,rte,True,lora
3,saad,2024-07-24 07:32:15.443470,0.6687,8.609131813049316,3e-05,4.0,1248,0.6402531862258911,0.6245487364620939,2.7644,100.203,12.661,1248,facebook/bart-base,super_glue,rte,True,lora
4,saad,2024-07-24 07:32:15.443470,0.6544,12.373427391052246,2.5e-05,5.0,1560,0.6321361064910889,0.6462093862815884,2.7234,101.713,12.852,1560,facebook/bart-base,super_glue,rte,True,lora
5,saad,2024-07-24 07:32:15.443470,0.634,5.889717102050781,2e-05,6.0,1872,0.6246708631515503,0.628158844765343,2.7188,101.885,12.874,1872,facebook/bart-base,super_glue,rte,True,lora
6,saad,2024-07-24 07:32:15.443470,0.6345,7.185858726501465,1.5e-05,7.0,2184,0.6407111883163452,0.6642599277978339,2.7069,102.329,12.93,2184,facebook/bart-base,super_glue,rte,True,lora
7,saad,2024-07-24 07:32:15.443470,0.6087,5.335783958435059,1e-05,8.0,2496,0.6358827948570251,0.6534296028880866,2.8169,98.334,12.425,2496,facebook/bart-base,super_glue,rte,True,lora
8,saad,2024-07-24 07:32:15.443470,0.6113,8.677682876586914,5e-06,9.0,2808,0.631511390209198,0.6498194945848376,2.7535,100.598,12.711,2808,facebook/bart-base,super_glue,rte,True,lora
9,saad,2024-07-24 07:32:15.443470,0.6037,4.078875541687012,0.0,10.0,3120,0.635259211063385,0.6425992779783394,2.7307,101.44,12.817,3120,facebook/bart-base,super_glue,rte,True,lora
10,saad,2024-07-24 07:32:15.443470,0.6037,4.078875541687012,0.0,10.0,3120,0.635259211063385,0.6425992779783394,2.7624,100.276,12.67,3120,facebook/bart-base,super_glue,rte,True,lora
0,saad,2024-07-24 07:32:15.443470,0.7014,14.531941413879395,4.5e-05,1.0,312,0.6541114449501038,0.6245487364620939,2.8649,96.688,12.217,312,facebook/bart-base,super_glue,rte,True,seq_bn_16_2_relu
1,saad,2024-07-24 07:32:15.443470,0.6589,8.261332511901855,4e-05,2.0,624,0.6445167064666748,0.6534296028880866,2.9157,95.003,12.004,624,facebook/bart-base,super_glue,rte,True,seq_bn_16_2_relu
2,saad,2024-07-24 07:32:15.443470,0.6217,11.885956764221191,3.5e-05,3.0,936,0.5779060125350952,0.6823104693140795,2.9137,95.068,12.012,936,facebook/bart-base,super_glue,rte,True,seq_bn_16_2_relu
3,saad,2024-07-24 07:32:15.443470,0.5933,8.574254035949707,3e-05,4.0,1248,0.5897491574287415,0.7220216606498195,2.9097,95.2,12.029,1248,facebook/bart-base,super_glue,rte,True,seq_bn_16_2_relu
4,saad,2024-07-24 07:32:15.443470,0.5643,18.181852340698242,2.5e-05,5.0,1560,0.6283950805664062,0.6967509025270758,2.8785,96.23,12.159,1560,facebook/bart-base,super_glue,rte,True,seq_bn_16_2_relu
5,saad,2024-07-24 07:32:15.443470,0.5314,3.1330459117889404,2e-05,6.0,1872,0.5877236127853394,0.7292418772563177,2.8942,95.709,12.093,1872,facebook/bart-base,super_glue,rte,True,seq_bn_16_2_relu
6,saad,2024-07-24 07:32:15.443470,0.5172,14.170480728149414,1.5e-05,7.0,2184,0.6089839935302734,0.7184115523465704,2.8852,96.006,12.131,2184,facebook/bart-base,super_glue,rte,True,seq_bn_16_2_relu
7,saad,2024-07-24 07:32:15.443470,0.4856,9.558900833129883,1e-05,8.0,2496,0.6194543838500977,0.7184115523465704,2.836,97.674,12.341,2496,facebook/bart-base,super_glue,rte,True,seq_bn_16_2_relu
8,saad,2024-07-24 07:32:15.443470,0.4761,13.121037483215332,5e-06,9.0,2808,0.6239503026008606,0.7184115523465704,2.8578,96.926,12.247,2808,facebook/bart-base,super_glue,rte,True,seq_bn_16_2_relu
9,saad,2024-07-24 07:32:15.443470,0.4627,3.0553698539733887,0.0,10.0,3120,0.6219421625137329,0.7256317689530686,2.8631,96.749,12.225,3120,facebook/bart-base,super_glue,rte,True,seq_bn_16_2_relu
10,saad,2024-07-24 07:32:15.443470,0.4627,3.0553698539733887,0.0,10.0,3120,0.6219421625137329,0.7256317689530686,2.8629,96.754,12.225,3120,facebook/bart-base,super_glue,rte,True,seq_bn_16_2_relu
0,saad,2024-07-24 07:32:15.443470,0.6949,12.35376262664795,4.5e-05,1.0,312,0.6396023035049438,0.6245487364620939,2.8633,96.743,12.224,312,facebook/bart-base,super_glue,rte,True,seq_bn_16_2_tanh
1,saad,2024-07-24 07:32:15.443470,0.6383,7.577513694763184,4e-05,2.0,624,0.6449851393699646,0.6389891696750902,2.8873,95.938,12.122,624,facebook/bart-base,super_glue,rte,True,seq_bn_16_2_tanh
2,saad,2024-07-24 07:32:15.443470,0.5937,14.521796226501465,3.5e-05,3.0,936,0.5889618396759033,0.6823104693140795,2.8635,96.736,12.223,936,facebook/bart-base,super_glue,rte,True,seq_bn_16_2_tanh
3,saad,2024-07-24 07:32:15.443470,0.5511,7.417881011962891,3e-05,4.0,1248,0.6175315380096436,0.6967509025270758,2.9433,94.111,11.891,1248,facebook/bart-base,super_glue,rte,True,seq_bn_16_2_tanh
4,saad,2024-07-24 07:32:15.443470,0.5078,25.04902458190918,2.5e-05,5.0,1560,0.6423813700675964,0.7003610108303249,2.9223,94.788,11.977,1560,facebook/bart-base,super_glue,rte,True,seq_bn_16_2_tanh
5,saad,2024-07-24 07:32:15.443470,0.4635,7.829819202423096,2e-05,6.0,1872,0.584657609462738,0.7111913357400722,2.9209,94.834,11.983,1872,facebook/bart-base,super_glue,rte,True,seq_bn_16_2_tanh
6,saad,2024-07-24 07:32:15.443470,0.4508,13.941871643066406,1.5e-05,7.0,2184,0.659981369972229,0.7148014440433214,2.8771,96.279,12.165,2184,facebook/bart-base,super_glue,rte,True,seq_bn_16_2_tanh
7,saad,2024-07-24 07:32:15.443470,0.4132,4.324324607849121,1e-05,8.0,2496,0.6814184188842773,0.7256317689530686,2.8531,97.086,12.267,2496,facebook/bart-base,super_glue,rte,True,seq_bn_16_2_tanh
8,saad,2024-07-24 07:32:15.443470,0.3949,19.59120750427246,5e-06,9.0,2808,0.6657276153564453,0.7184115523465704,2.8737,96.39,12.179,2808,facebook/bart-base,super_glue,rte,True,seq_bn_16_2_tanh
9,saad,2024-07-24 07:32:15.443470,0.3848,3.4377808570861816,0.0,10.0,3120,0.67782062292099,0.7148014440433214,2.8599,96.855,12.238,3120,facebook/bart-base,super_glue,rte,True,seq_bn_16_2_tanh
10,saad,2024-07-24 07:32:15.443470,0.3848,3.4377808570861816,0.0,10.0,3120,0.67782062292099,0.7148014440433214,2.8437,97.407,12.308,3120,facebook/bart-base,super_glue,rte,True,seq_bn_16_2_tanh
0,saad,2024-07-24 07:32:15.443470,0.7071,12.075543403625488,4.5e-05,1.0,312,0.6858258247375488,0.5415162454873647,2.6825,103.264,13.048,312,facebook/bart-base,super_glue,rte,True,ia3
1,saad,2024-07-24 07:32:15.443470,0.6903,11.217537879943848,4e-05,2.0,624,0.6909953951835632,0.5126353790613718,2.6936,102.836,12.994,624,facebook/bart-base,super_glue,rte,True,ia3
2,saad,2024-07-24 07:32:15.443470,0.6828,14.948986053466797,3.5e-05,3.0,936,0.6653233170509338,0.6064981949458483,2.6819,103.283,13.05,936,facebook/bart-base,super_glue,rte,True,ia3
3,saad,2024-07-24 07:32:15.443470,0.6811,7.255043983459473,3e-05,4.0,1248,0.663786768913269,0.6028880866425993,2.7525,100.637,12.716,1248,facebook/bart-base,super_glue,rte,True,ia3
4,saad,2024-07-24 07:32:15.443470,0.6784,11.24884033203125,2.5e-05,5.0,1560,0.6638282537460327,0.592057761732852,2.6913,102.925,13.005,1560,facebook/bart-base,super_glue,rte,True,ia3
5,saad,2024-07-24 07:32:15.443470,0.6689,5.413324356079102,2e-05,6.0,1872,0.6709137558937073,0.555956678700361,2.6668,103.869,13.124,1872,facebook/bart-base,super_glue,rte,True,ia3
6,saad,2024-07-24 07:32:15.443470,0.671,5.893890857696533,1.5e-05,7.0,2184,0.6647786498069763,0.6064981949458483,2.6564,104.275,13.176,2184,facebook/bart-base,super_glue,rte,True,ia3
7,saad,2024-07-24 07:32:15.443470,0.6576,6.065005779266357,1e-05,8.0,2496,0.6582943201065063,0.6101083032490975,2.6589,104.179,13.163,2496,facebook/bart-base,super_glue,rte,True,ia3
8,saad,2024-07-24 07:32:15.443470,0.6608,7.72066593170166,5e-06,9.0,2808,0.6578713059425354,0.6245487364620939,2.724,101.689,12.849,2808,facebook/bart-base,super_glue,rte,True,ia3
