,user_name,generated_on,train_loss,grad_norm,learning_rate,epoch,step_x,val_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,step_y,model_string,dataset_name,task_name,used_adapter,adapter_type
0,saad,2024-07-24 03:36:04.376077,0.6658,8.413909912109375,4.5e-05,1.0,312,0.6695865392684937,0.5992779783393501,2.083,132.984,16.803,312,google/electra-base-discriminator,super_glue,rte,False,NA
1,saad,2024-07-24 03:36:04.376077,0.5236,1.4309107065200806,4e-05,2.0,624,0.7171986699104309,0.7148014440433214,2.1209,130.607,16.503,624,google/electra-base-discriminator,super_glue,rte,False,NA
2,saad,2024-07-24 03:36:04.376077,0.3533,0.8991707563400269,3.5e-05,3.0,936,0.8045903444290161,0.7472924187725631,2.1442,129.185,16.323,936,google/electra-base-discriminator,super_glue,rte,False,NA
3,saad,2024-07-24 03:36:04.376077,0.215,279.7410888671875,3e-05,4.0,1248,1.0344923734664917,0.7545126353790613,2.1076,131.427,16.606,1248,google/electra-base-discriminator,super_glue,rte,False,NA
4,saad,2024-07-24 03:36:04.376077,0.1173,2.5330936908721924,2.5e-05,5.0,1560,1.0667821168899536,0.7689530685920578,2.1002,131.891,16.665,1560,google/electra-base-discriminator,super_glue,rte,False,NA
5,saad,2024-07-24 03:36:04.376077,0.055,0.02585143782198429,2e-05,6.0,1872,1.2943474054336548,0.776173285198556,2.0991,131.962,16.674,1872,google/electra-base-discriminator,super_glue,rte,False,NA
6,saad,2024-07-24 03:36:04.376077,0.0321,0.010099857114255428,1.5e-05,7.0,2184,1.4425240755081177,0.7833935018050542,2.1155,130.936,16.544,2184,google/electra-base-discriminator,super_glue,rte,False,NA
7,saad,2024-07-24 03:36:04.376077,0.0111,0.006241627968847752,1e-05,8.0,2496,1.855577826499939,0.7436823104693141,2.1258,130.306,16.465,2496,google/electra-base-discriminator,super_glue,rte,False,NA
8,saad,2024-07-24 03:36:04.376077,0.0131,0.010784892365336418,5e-06,9.0,2808,1.6540582180023193,0.7725631768953068,2.1037,131.673,16.637,2808,google/electra-base-discriminator,super_glue,rte,False,NA
9,saad,2024-07-24 03:36:04.376077,0.0049,0.003907171543687582,0.0,10.0,3120,1.6554886102676392,0.7725631768953068,2.1378,129.574,16.372,3120,google/electra-base-discriminator,super_glue,rte,False,NA
10,saad,2024-07-24 03:36:04.376077,0.0049,0.003907171543687582,0.0,10.0,3120,1.6554886102676392,0.7725631768953068,2.2105,125.31,15.833,3120,google/electra-base-discriminator,super_glue,rte,False,NA
