,user_name,generated_on,train_loss,grad_norm,learning_rate,epoch,step_x,val_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,step_y,model_string,dataset_name,task_name,used_adapter,adapter_type
0,saad,2024-07-24 05:59:32.678355,0.6815,5.910122871398926,4.5e-05,1.0,312,0.6481781601905823,0.6101083032490975,2.3316,118.8,15.011,312,google/electra-base-discriminator,super_glue,rte,True,seq_bn
1,saad,2024-07-24 05:59:32.678355,0.6324,5.295745849609375,4e-05,2.0,624,0.6068713068962097,0.6678700361010831,2.2745,121.787,15.388,624,google/electra-base-discriminator,super_glue,rte,True,seq_bn
2,saad,2024-07-24 05:59:32.678355,0.5778,9.24264907836914,3.5e-05,3.0,936,0.5763304233551025,0.7003610108303249,2.267,122.187,15.439,936,google/electra-base-discriminator,super_glue,rte,True,seq_bn
3,saad,2024-07-24 05:59:32.678355,0.5246,4.563815593719482,3e-05,4.0,1248,0.5466684699058533,0.7436823104693141,2.2584,122.651,15.497,1248,google/electra-base-discriminator,super_glue,rte,True,seq_bn
4,saad,2024-07-24 05:59:32.678355,0.4764,15.418621063232422,2.5e-05,5.0,1560,0.5246941447257996,0.740072202166065,2.323,119.241,15.067,1560,google/electra-base-discriminator,super_glue,rte,True,seq_bn
5,saad,2024-07-24 05:59:32.678355,0.4497,13.75323486328125,2e-05,6.0,1872,0.5213804841041565,0.7689530685920578,2.2576,122.698,15.503,1872,google/electra-base-discriminator,super_glue,rte,True,seq_bn
6,saad,2024-07-24 05:59:32.678355,0.3938,1.8750046491622925,1.5e-05,7.0,2184,0.6115357279777527,0.7509025270758123,2.2659,122.249,15.447,2184,google/electra-base-discriminator,super_glue,rte,True,seq_bn
7,saad,2024-07-24 05:59:32.678355,0.3882,11.183311462402344,1e-05,8.0,2496,0.567887008190155,0.779783393501805,2.2521,122.998,15.541,2496,google/electra-base-discriminator,super_glue,rte,True,seq_bn
8,saad,2024-07-24 05:59:32.678355,0.3597,11.476946830749512,5e-06,9.0,2808,0.5231904983520508,0.779783393501805,2.3256,119.108,15.05,2808,google/electra-base-discriminator,super_glue,rte,True,seq_bn
9,saad,2024-07-24 05:59:32.678355,0.3612,2.1129772663116455,0.0,10.0,3120,0.5358009934425354,0.7870036101083032,2.2559,122.788,15.515,3120,google/electra-base-discriminator,super_glue,rte,True,seq_bn
10,saad,2024-07-24 05:59:32.678355,0.3612,2.1129772663116455,0.0,10.0,3120,0.5358009934425354,0.7870036101083032,2.252,123.0,15.542,3120,google/electra-base-discriminator,super_glue,rte,True,seq_bn
0,saad,2024-07-24 05:59:32.678355,0.6952,5.501540660858154,4.5e-05,1.0,312,0.6766738891601562,0.5667870036101083,2.2608,122.522,15.481,312,google/electra-base-discriminator,super_glue,rte,True,prefix_tuning
1,saad,2024-07-24 05:59:32.678355,0.6778,5.449880123138428,4e-05,2.0,624,0.6891417503356934,0.5090252707581228,2.2549,122.844,15.522,624,google/electra-base-discriminator,super_glue,rte,True,prefix_tuning
2,saad,2024-07-24 05:59:32.678355,0.6686,6.621122360229492,3.5e-05,3.0,936,0.6648622751235962,0.5884476534296029,2.2717,121.935,15.407,936,google/electra-base-discriminator,super_glue,rte,True,prefix_tuning
3,saad,2024-07-24 05:59:32.678355,0.6651,3.3209376335144043,3e-05,4.0,1248,0.6633332967758179,0.6064981949458483,2.3043,120.208,15.189,1248,google/electra-base-discriminator,super_glue,rte,True,prefix_tuning
4,saad,2024-07-24 05:59:32.678355,0.6617,5.49485445022583,2.5e-05,5.0,1560,0.6570627093315125,0.5884476534296029,2.3441,118.171,14.931,1560,google/electra-base-discriminator,super_glue,rte,True,prefix_tuning
5,saad,2024-07-24 05:59:32.678355,0.6564,3.3539676666259766,2e-05,6.0,1872,0.6595607399940491,0.6137184115523465,2.2627,122.419,15.468,1872,google/electra-base-discriminator,super_glue,rte,True,prefix_tuning
6,saad,2024-07-24 05:59:32.678355,0.65,2.907078266143799,1.5e-05,7.0,2184,0.6538850665092468,0.592057761732852,2.2433,123.482,15.602,2184,google/electra-base-discriminator,super_glue,rte,True,prefix_tuning
7,saad,2024-07-24 05:59:32.678355,0.6497,2.6391148567199707,1e-05,8.0,2496,0.6522583961486816,0.6064981949458483,2.2713,121.955,15.409,2496,google/electra-base-discriminator,super_glue,rte,True,prefix_tuning
8,saad,2024-07-24 05:59:32.678355,0.6492,2.790313243865967,5e-06,9.0,2808,0.6515782475471497,0.6101083032490975,2.2579,122.682,15.501,2808,google/electra-base-discriminator,super_glue,rte,True,prefix_tuning
9,saad,2024-07-24 05:59:32.678355,0.6444,3.4924874305725098,0.0,10.0,3120,0.6513400077819824,0.6173285198555957,2.2949,120.704,15.251,3120,google/electra-base-discriminator,super_glue,rte,True,prefix_tuning
10,saad,2024-07-24 05:59:32.678355,0.6444,3.4924874305725098,0.0,10.0,3120,0.6513400077819824,0.6173285198555957,2.3649,117.128,14.8,3120,google/electra-base-discriminator,super_glue,rte,True,prefix_tuning
0,saad,2024-07-24 05:59:32.678355,0.6899,7.738907814025879,4.5e-05,1.0,312,0.6659257411956787,0.5848375451263538,2.6394,104.947,13.26,312,google/electra-base-discriminator,super_glue,rte,True,mam_adapter
1,saad,2024-07-24 05:59:32.678355,0.5853,5.398871898651123,4e-05,2.0,624,0.529912531375885,0.740072202166065,2.5663,107.939,13.638,624,google/electra-base-discriminator,super_glue,rte,True,mam_adapter
2,saad,2024-07-24 05:59:32.678355,0.4349,1.4126369953155518,3.5e-05,3.0,936,0.5270789861679077,0.7906137184115524,2.5185,109.985,13.897,936,google/electra-base-discriminator,super_glue,rte,True,mam_adapter
3,saad,2024-07-24 05:59:32.678355,0.3279,113.73728942871094,3e-05,4.0,1248,0.6466286182403564,0.8014440433212996,2.5277,109.584,13.846,1248,google/electra-base-discriminator,super_glue,rte,True,mam_adapter
4,saad,2024-07-24 05:59:32.678355,0.2147,43.46405029296875,2.5e-05,5.0,1560,0.9928296804428101,0.7689530685920578,2.5262,109.65,13.855,1560,google/electra-base-discriminator,super_glue,rte,True,mam_adapter
5,saad,2024-07-24 05:59:32.678355,0.1335,17.664104461669922,2e-05,6.0,1872,0.9386001825332642,0.8194945848375451,2.6141,105.965,13.389,1872,google/electra-base-discriminator,super_glue,rte,True,mam_adapter
6,saad,2024-07-24 05:59:32.678355,0.0884,0.019707953557372093,1.5e-05,7.0,2184,1.1621814966201782,0.8086642599277978,2.5334,109.337,13.815,2184,google/electra-base-discriminator,super_glue,rte,True,mam_adapter
7,saad,2024-07-24 05:59:32.678355,0.0456,3.0554635524749756,1e-05,8.0,2496,1.2934967279434204,0.7978339350180506,2.53,109.486,13.834,2496,google/electra-base-discriminator,super_glue,rte,True,mam_adapter
8,saad,2024-07-24 05:59:32.678355,0.0305,0.007183387875556946,5e-06,9.0,2808,1.3150399923324585,0.7978339350180506,2.527,109.614,13.85,2808,google/electra-base-discriminator,super_glue,rte,True,mam_adapter
9,saad,2024-07-24 05:59:32.678355,0.024,0.006821366026997566,0.0,10.0,3120,1.31946861743927,0.7942238267148014,2.6635,104.0,13.141,3120,google/electra-base-discriminator,super_glue,rte,True,mam_adapter
10,saad,2024-07-24 05:59:32.678355,0.024,0.006821366026997566,0.0,10.0,3120,1.31946861743927,0.7942238267148014,2.557,108.331,13.688,3120,google/electra-base-discriminator,super_glue,rte,True,mam_adapter
0,saad,2024-07-24 05:59:32.678355,0.6893,5.937084197998047,4.5e-05,1.0,312,0.6718895435333252,0.5667870036101083,2.2646,122.315,15.455,312,google/electra-base-discriminator,super_glue,rte,True,compacter_plusplus
1,saad,2024-07-24 05:59:32.678355,0.666,4.808990955352783,4e-05,2.0,624,0.6832614541053772,0.5703971119133574,2.2139,125.121,15.809,624,google/electra-base-discriminator,super_glue,rte,True,compacter_plusplus
2,saad,2024-07-24 05:59:32.678355,0.6536,6.697036266326904,3.5e-05,3.0,936,0.6638834476470947,0.6101083032490975,2.2342,123.98,15.665,936,google/electra-base-discriminator,super_glue,rte,True,compacter_plusplus
3,saad,2024-07-24 05:59:32.678355,0.6486,3.5150206089019775,3e-05,4.0,1248,0.6533392071723938,0.6389891696750902,2.2152,125.048,15.8,1248,google/electra-base-discriminator,super_glue,rte,True,compacter_plusplus
4,saad,2024-07-24 05:59:32.678355,0.6369,5.074997425079346,2.5e-05,5.0,1560,0.6497324705123901,0.5992779783393501,2.2324,124.079,15.678,1560,google/electra-base-discriminator,super_glue,rte,True,compacter_plusplus
5,saad,2024-07-24 05:59:32.678355,0.6373,3.968806505203247,2e-05,6.0,1872,0.6502033472061157,0.628158844765343,2.24,123.663,15.625,1872,google/electra-base-discriminator,super_glue,rte,True,compacter_plusplus
6,saad,2024-07-24 05:59:32.678355,0.6317,3.055349826812744,1.5e-05,7.0,2184,0.6486416459083557,0.6028880866425993,2.2619,122.462,15.474,2184,google/electra-base-discriminator,super_glue,rte,True,compacter_plusplus
7,saad,2024-07-24 05:59:32.678355,0.6248,3.526515007019043,1e-05,8.0,2496,0.647522509098053,0.6101083032490975,2.2432,123.487,15.603,2496,google/electra-base-discriminator,super_glue,rte,True,compacter_plusplus
8,saad,2024-07-24 05:59:32.678355,0.6223,3.8206188678741455,5e-06,9.0,2808,0.6463422179222107,0.6064981949458483,2.2779,121.604,15.365,2808,google/electra-base-discriminator,super_glue,rte,True,compacter_plusplus
9,saad,2024-07-24 05:59:32.678355,0.6194,3.4985151290893555,0.0,10.0,3120,0.6453556418418884,0.6028880866425993,2.2437,123.456,15.599,3120,google/electra-base-discriminator,super_glue,rte,True,compacter_plusplus
10,saad,2024-07-24 05:59:32.678355,0.6194,3.4985151290893555,0.0,10.0,3120,0.6453556418418884,0.6028880866425993,2.2163,124.985,15.792,3120,google/electra-base-discriminator,super_glue,rte,True,compacter_plusplus
0,saad,2024-07-24 05:59:32.678355,0.6876,6.135042190551758,4.5e-05,1.0,312,0.6625705361366272,0.6245487364620939,2.5749,107.577,13.593,312,google/electra-base-discriminator,super_glue,rte,True,unipelt
1,saad,2024-07-24 05:59:32.678355,0.6302,4.820194244384766,4e-05,2.0,624,0.6087648272514343,0.6570397111913358,2.5772,107.48,13.581,624,google/electra-base-discriminator,super_glue,rte,True,unipelt
2,saad,2024-07-24 05:59:32.678355,0.569,8.262673377990723,3.5e-05,3.0,936,0.5398817658424377,0.7364620938628159,2.6098,106.137,13.411,936,google/electra-base-discriminator,super_glue,rte,True,unipelt
3,saad,2024-07-24 05:59:32.678355,0.5089,4.982418060302734,3e-05,4.0,1248,0.5080606937408447,0.7509025270758123,2.6645,103.96,13.136,1248,google/electra-base-discriminator,super_glue,rte,True,unipelt
4,saad,2024-07-24 05:59:32.678355,0.4454,15.917648315429688,2.5e-05,5.0,1560,0.5582023859024048,0.7364620938628159,2.6105,106.108,13.407,1560,google/electra-base-discriminator,super_glue,rte,True,unipelt
5,saad,2024-07-24 05:59:32.678355,0.3962,3.0457701683044434,2e-05,6.0,1872,0.5751391053199768,0.7509025270758123,2.6367,105.056,13.274,1872,google/electra-base-discriminator,super_glue,rte,True,unipelt
6,saad,2024-07-24 05:59:32.678355,0.3597,3.138479709625244,1.5e-05,7.0,2184,0.6638713479042053,0.7436823104693141,2.6045,106.354,13.438,2184,google/electra-base-discriminator,super_glue,rte,True,unipelt
7,saad,2024-07-24 05:59:32.678355,0.3398,4.508068084716797,1e-05,8.0,2496,0.7437778115272522,0.7184115523465704,2.6162,105.878,13.378,2496,google/electra-base-discriminator,super_glue,rte,True,unipelt
