,user,generated_on,model_name,dataset_name,task_name,used_adapter,adapter_type,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch,epoch,train_samples,training_time,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,epoch
0,saad,2024-07-24 05:59:32.653139,google/electra-base-discriminator,super_glue,rte,True,seq_bn,456.3379,54.565,6.837,1672078795315200.0,0.4845424358661358,10.0,10.0,2490,456.95881152153015,0.5358009934425354,0.7870036101083032,2.3068,120.082,15.173,10.0,10.0
1,saad,2024-07-24 05:59:32.653139,google/electra-base-discriminator,super_glue,rte,True,prefix_tuning,437.082,56.969,7.138,1648440684288000.0,0.6618082877917167,10.0,10.0,2490,437.43505597114563,0.6513400077819824,0.6173285198555957,2.3432,118.216,14.937,10.0,10.0
2,saad,2024-07-24 05:59:32.653139,google/electra-base-discriminator,super_glue,rte,True,mam_adapter,526.6076,47.284,5.925,2067582675916800.0,0.25747098341966285,10.0,10.0,2490,526.9896576404572,1.31946861743927,0.7942238267148014,2.5726,107.671,13.605,10.0,10.0
3,saad,2024-07-24 05:59:32.653139,google/electra-base-discriminator,super_glue,rte,True,compacter_plusplus,431.8674,57.657,7.224,1638412784179200.0,0.642995741428473,10.0,10.0,2490,432.22428369522095,0.6453556418418884,0.6028880866425993,2.2598,122.576,15.488,10.0,10.0
4,saad,2024-07-24 05:59:32.653139,google/electra-base-discriminator,super_glue,rte,True,unipelt,547.8356,45.452,5.695,1849669069363200.0,0.45491839188795824,10.0,10.0,2490,548.1925251483917,0.7129091620445251,0.7436823104693141,2.613,106.008,13.395,10.0,10.0
5,saad,2024-07-24 05:59:32.653139,google/electra-base-discriminator,super_glue,rte,True,lora,437.8133,56.874,7.126,1643505980774400.0,0.5879596514579577,10.0,10.0,2490,438.2052047252655,0.5782979726791382,0.7003610108303249,2.2597,122.581,15.489,10.0,10.0
6,saad,2024-07-24 05:59:32.653139,google/electra-base-discriminator,super_glue,rte,True,seq_bn_16_2_relu,487.4018,51.087,6.401,1790588784384000.0,0.35059303992833846,10.0,10.0,2490,487.9039134979248,0.7876916527748108,0.8267148014440433,2.4202,114.451,14.461,10.0,10.0
7,saad,2024-07-24 05:59:32.653139,google/electra-base-discriminator,super_glue,rte,True,seq_bn_16_2_tanh,487.9917,51.025,6.394,1790588784384000.0,0.25035350750654173,10.0,10.0,2490,488.49503803253174,1.3142513036727905,0.8050541516245487,2.4424,113.414,14.33,10.0,10.0
8,saad,2024-07-24 05:59:32.653139,google/electra-base-discriminator,super_glue,rte,True,ia3,442.196,56.31,7.056,1638923756083200.0,0.6411953559288612,10.0,10.0,2490,442.60225081443787,0.6440175175666809,0.6137184115523465,2.2779,121.604,15.365,10.0,10.0
9,saad,2024-07-24 05:59:32.653139,google/electra-base-discriminator,super_glue,rte,True,prompt_tuning,483.5057,51.499,6.453,1637866319616000.0,0.6929258591089493,10.0,10.0,2490,483.8894670009613,0.6859214901924133,0.5306859205776173,2.5614,108.144,13.664,10.0,10.0
